country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
Abkhazia,Eurasia,2006,PF,5,5,5,5,3,13,8,4,4,5,21,34
Afghanistan,Asia,2006,PF,5,5,6,7,3,16,5,5,4,5,19,35
Albania,Europe,2006,PF,3,3,8,11,6,25,11,8,10,9,38,63
Algeria,MENA,2006,NF,6,5,5,3,3,11,8,6,4,7,25,36
Andorra,Europe,2006,F,1,1,12,15,12,39,16,11,15,15,57,96
Angola,SSA,2006,NF,6,5,2,5,1,8,8,6,4,3,21,29
Antigua and Barbuda,Americas,2006,F,2,2,11,12,7,30,13,9,12,13,47,77
Argentina,Americas,2006,F,2,2,11,15,8,34,15,11,11,13,50,84
Armenia,Eurasia,2006,PF,5,4,4,5,4,13,8,5,6,9,28,41
Australia,Asia,2006,F,1,1,12,15,12,39,16,12,14,15,57,96
Austria,Europe,2006,F,1,1,12,16,12,40,16,12,15,15,58,98
Azerbaijan,Eurasia,2006,NF,6,5,3,4,3,10,7,3,5,8,23,33
Bahamas,Americas,2006,F,1,1,12,16,10,38,16,12,15,15,58,96
Bahrain,MENA,2006,PF,5,5,3,6,5,14,8,5,4,5,22,36
Bangladesh,Asia,2006,PF,4,4,8,10,4,22,8,8,6,9,31,53
Barbados,Americas,2006,F,1,1,12,16,12,40,16,12,16,15,59,99
Belarus,Eurasia,2006,NF,7,6,1,3,1,5,3,0,2,5,10,15
Belgium,Europe,2006,F,1,1,12,15,12,39,16,12,15,15,58,97
Belize,Americas,2006,F,1,2,12,14,10,36,15,11,13,13,52,88
Benin,SSA,2006,F,2,2,8,14,8,30,15,11,12,10,48,78
Bhutan,Asia,2006,NF,6,5,2,1,5,9,6,2,4,8,20,29
Bolivia,Americas,2006,PF,3,3,10,13,5,28,15,11,8,9,43,71
Bosnia and Herzegovina,Europe,2006,PF,4,3,7,11,5,23,11,8,10,10,39,62
Botswana,SSA,2006,F,2,2,11,11,9,31,14,10,13,10,47,78
Brazil,Americas,2006,F,2,2,11,14,7,32,15,10,8,12,45,77
Brunei,Asia,2006,NF,6,5,0,3,2,6,6,3,6,8,23,29
Bulgaria,Europe,2006,F,1,2,12,15,9,36,14,11,13,13,51,87
Burkina Faso,SSA,2006,PF,5,3,5,8,4,17,13,9,6,8,36,53
Burundi,SSA,2006,PF,3,5,9,11,5,25,9,5,4,6,24,49
Cambodia,Asia,2006,NF,6,5,3,5,3,11,9,6,2,7,24,35
Cameroon,SSA,2006,NF,6,6,3,5,3,11,7,3,2,4,16,27
Canada,Americas,2006,F,1,1,12,16,11,39,16,12,15,16,59,98
Cape Verde,SSA,2006,F,1,1,12,15,10,37,15,11,14,13,53,90
Central African Republic,SSA,2006,PF,5,4,7,7,3,17,10,9,3,5,27,44
Chad,SSA,2006,NF,6,5,3,2,3,8,7,6,2,3,18,26
Chechnya,Eurasia,2006,NF,7,7,0,0,0,0,4,0,0,1,5,5
Chile,Americas,2006,F,1,1,12,15,12,39,16,12,15,14,57,96
China,Asia,2006,NF,7,6,0,1,1,2,4,2,2,7,15,17
Colombia,Americas,2006,PF,3,3,9,8,7,24,12,7,7,10,36,60
Comoros,SSA,2006,PF,4,4,7,8,3,18,10,6,8,6,30,48
