country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
Abkhazia,Eurasia,2018,PF,4,5,6,8,4,18,8,6,4,5,23,41
Afghanistan,Asia,2018,NF,5,6,2,7,3,12,6,4,2,2,14,26
Albania,Europe,2018,PF,3,3,8,13,7,28,13,9,9,9,40,68
Algeria,MENA,2018,NF,6,5,3,4,3,10,7,5,6,7,25,35
Andorra,Europe,2018,F,1,1,12,15,12,39,15,11,15,16,57,96
Angola,SSA,2018,NF,6,6,3,6,1,10,7,3,3,3,16,26
Antigua and Barbuda,Americas,2018,F,2,2,12,13,8,33,15,9,13,13,50,83
Argentina,Americas,2018,F,2,2,11,14,8,33,15,11,10,14,50,83
Armenia,Eurasia,2018,PF,5,4,4,7,4,15,9,6,6,9,30,45
Australia,Asia,2018,F,1,1,12,16,12,40,16,12,15,15,58,98
Austria,Europe,2018,F,1,1,12,15,10,37,15,12,15,15,57,94
Azerbaijan,Eurasia,2018,NF,7,6,1,2,0,3,2,1,1,5,9,12
Bahamas,Americas,2018,F,1,1,12,16,10,38,15,12,13,13,53,91
Bahrain,MENA,2018,NF,7,6,2,0,3,2,2,1,1,6,10,12
Bangladesh,Asia,2018,PF,4,4,7,7,5,19,7,5,5,9,26,45
Barbados,Americas,2018,F,1,1,12,16,10,38,16,12,15,15,58,96
Belarus,Eurasia,2018,NF,6,6,0,4,2,6,3,3,2,7,15,21
Belgium,Europe,2018,F,1,1,12,16,11,39,15,12,14,15,56,95
Belize,Americas,2018,F,1,2,12,14,10,36,15,10,12,13,50,86
Benin,SSA,2018,F,2,2,9,16,8,33,15,12,12,10,49,82
Bhutan,Asia,2018,PF,3,4,10,10,9,28,9,4,6,8,27,55
Bolivia,Americas,2018,PF,3,3,10,11,7,28,14,9,6,10,39,67
Bosnia and Herzegovina,Europe,2018,PF,4,4,7,10,4,21,10,7,7,10,34,55
Botswana,SSA,2018,F,3,2,10,10,8,28,12,10,11,11,44,72
Brazil,Americas,2018,F,2,2,11,14,6,31,15,10,9,13,47,78
Brunei,Asia,2018,NF,6,5,0,3,3,6,6,3,6,7,22,28
Bulgaria,Europe,2018,F,2,2,11,14,8,33,14,11,10,12,47,80
Burkina Faso,SSA,2018,PF,4,3,7,10,6,23,13,9,7,8,37,60
Burundi,SSA,2018,NF,7,6,1,3,0,4,6,2,1,5,14,18
Cambodia,Asia,2018,NF,6,5,4,3,3,10,8,3,3,6,20,30
Cameroon,SSA,2018,NF,6,6,3,3,3,9,6,2,1,4,13,22
Canada,Americas,2018,F,1,1,12,16,12,40,16,12,15,16,59,99
Cape Verde,SSA,2018,F,1,1,12,15,10,37,15,11,14,13,53,90
Central African Republic,SSA,2018,NF,7,7,3,2,0,4,4,1,0,0,5,9
Chad,SSA,2018,NF,7,6,2,1,1,4,6,4,1,3,14,18
Chile,Americas,2018,F,1,1,12,15,10,37,16,12,14,15,57,94
China,Asia,2018,NF,7,6,0,0,2,0,3,3,2,6,14,14
Colombia,Americas,2018,PF,3,3,10,11,8,29,12,5,9,10,36,65
Comoros,SSA,2018,PF,3,4,9,11,4,24,10,7,8,6,31,55
Congo (Brazzaville),SSA,2018,NF,7,5,0,2,0,2,7,5,1,6,19,21
Congo (Kinshasa),SSA,2018,NF,7,6,0,3,1,4,7,2,0,4,13,17
Costa Rica,Americas,2018,F,1,1,12,15,11,38,16,11,13,13,53,91
Cote d'Ivoire,SSA,2018,PF,4,4,7,8,4,19,11,8,6,7,32,51
Crimea,Eurasia,2018,NF,7,6,0,0,0,-1,3,1,0,6,10,9
Croatia,Europe,2018,F,1,2,12,15,10,37,13,12,11,13,49,86
Cuba,Americas,2018,NF,7,6,0,0,1,1,5,0,2,6,13,14
Cyprus,Europe,2018,F,1,1,11,16,11,38,15,12,15,14,56,94
Czech Republic,Europe,2018,F,1,1,12,15,10,37,15,12,14,15,56,93
Denmark,Europe,2018,F,1,1,12,16,12,40,16,12,14,15,57,97
Djibouti,SSA,2018,NF,6,5,2,3,2,7,6,3,4,6,19,26
Dominica,Americas,2018,F,1,1,11,16,10,37,15,11,15,15,56,93
Dominican Republic,Americas,2018,PF,3,3,9,10,7,26,14,10,8,9,41,67
Ecuador,Americas,2018,PF,3,3,7,11,7,25,12,7,6,10,35,60
Egypt,MENA,2018,NF,6,6,3,4,3,10,5,2,3,6,16,26
El Salvador,Americas,2018,F,2,3,11,14,9,34,12,8,8,8,36,70
Equatorial Guinea,SSA,2018,NF,7,7,0,1,0,1,3,0,0,3,6,7
Eritrea,SSA,2018,NF,7,7,0,0,1,1,0,0,0,2,2,3
Estonia,Europe,2018,F,1,1,12,15,11,38,16,12,14,14,56,94
Ethiopia,SSA,2018,NF,7,6,1,0,3,4,2,0,2,4,8,12
Fiji,Asia,2018,PF,3,3,8,9,7,24,12,6,7,10,35,59
Finland,Europe,2018,F,1,1,12,16,12,40,16,12,16,16,60,100
France,Europe,2018,F,1,2,12,15,11,38,14,11,13,14,52,90
Gabon,SSA,2018,NF,7,5,0,2,2,4,8,3,3,5,19,23
Gaza Strip,MENA,2018,NF,7,6,0,2,1,3,4,3,0,2,9,12
Georgia,Eurasia,2018,PF,3,3,9,10,7,26,11,8,8,11,38,64
Germany,Europe,2018,F,1,1,12,15,12,39,14,12,14,15,55,94
Ghana,SSA,2018,F,1,2,12,15,10,37,14,11,11,10,46,83
Greece,Europe,2018,F,2,2,12,15,8,35,14,12,11,13,50,85
Grenada,Americas,2018,F,1,2,11,16,10,37,15,11,12,13,51,88
Guatemala,Americas,2018,PF,4,4,8,10,5,23,12,6,7,8,33,56
Guinea,SSA,2018,PF,5,5,6,8,3,17,10,5,4,5,24,41
Guinea-Bissau,SSA,2018,PF,5,5,7,8,1,16,10,6,4,5,25,41
Guyana,Americas,2018,F,2,3,11,13,8,32,15,10,8,9,42,74
Haiti,Americas,2018,PF,5,5,5,7,5,17,10,4,4,6,24,41
Honduras,Americas,2018,PF,4,4,7,8,5,20,9,4,5,8,26,46
Hong Kong,Asia,2018,PF,5,2,2,7,6,15,12,8,11,13,44,59
Hungary,Europe,2018,F,3,2,9,12,7,28,11,10,10,13,44,72
Iceland,Europe,2018,F,1,1,12,15,10,37,15,12,15,16,58,95
India,Asia,2018,F,2,3,12,14,9,35,13,10,9,10,42,77
Indian Kashmir,Asia,2018,PF,4,4,9,9,4,22,9,5,5,8,27,49
Indonesia,Asia,2018,PF,2,4,11,13,6,30,12,8,5,9,34,64
Iran,MENA,2018,NF,6,6,3,2,2,7,3,1,3,4,11,18
Iraq,MENA,2018,NF,5,6,8,7,2,16,5,6,0,4,15,31
Ireland,Europe,2018,F,1,1,12,16,11,39,16,12,14,15,57,96
Israel,MENA,2018,F,1,3,12,14,10,36,12,9,11,11,43,79
Italy,Europe,2018,F,1,1,12,14,10,36,15,12,12,14,53,89
Jamaica,Americas,2018,F,2,3,12,13,9,34,15,9,8,11,43,77
Japan,Asia,2018,F,1,1,12,16,12,40,15,12,15,14,56,96
Jordan,MENA,2018,PF,5,5,3,6,3,12,7,3,7,8,25,37
Kazakhstan,Eurasia,2018,NF,7,5,1,3,1,5,4,1,4,8,17,22
Kenya,SSA,2018,PF,4,4,6,8,5,19,10,7,5,7,29,48
Kiribati,Asia,2018,F,1,1,12,16,10,38,15,12,15,13,55,93
Kosovo,Europe,2018,PF,3,4,9,10,5,24,9,6,6,7,28,52
Kuwait,MENA,2018,PF,5,5,2,7,4,13,6,4,7,6,23,36
