country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
Abkhazia,Eurasia,2020,PF,5,5,5,8,4,17,8,6,4,5,23,40
Afghanistan,Asia,2020,NF,5,6,3,7,3,13,6,4,2,2,14,27
Albania,Europe,2020,PF,3,3,8,12,7,27,13,9,9,9,40,67
Algeria,MENA,2020,NF,6,5,3,4,3,10,7,4,6,7,24,34
Andorra,Europe,2020,F,1,1,12,15,12,39,14,11,15,15,55,94
Angola,SSA,2020,NF,6,5,3,6,2,11,7,6,5,3,21,32
Antigua and Barbuda,Americas,2020,F,2,2,12,13,8,33,15,10,14,13,52,85
Argentina,Americas,2020,F,2,2,11,16,8,35,15,11,10,14,50,85
Armenia,Eurasia,2020,PF,4,4,6,10,5,21,9,8,6,9,32,53
Australia,Asia,2020,F,1,1,12,16,12,40,15,12,15,15,57,97
Austria,Europe,2020,F,1,1,12,15,10,37,14,12,15,15,56,93
Azerbaijan,Eurasia,2020,NF,7,6,0,2,0,2,2,1,0,5,8,10
Bahamas,Americas,2020,F,1,1,12,16,10,38,15,12,13,13,53,91
Bahrain,MENA,2020,NF,7,6,2,0,2,1,2,1,1,6,10,11
Bangladesh,Asia,2020,PF,5,5,4,7,4,15,6,5,4,9,24,39
Barbados,Americas,2020,F,1,1,12,16,10,38,16,12,14,15,57,95
Belarus,Eurasia,2020,NF,7,6,0,3,2,5,2,3,2,7,14,19
Belgium,Europe,2020,F,1,1,12,16,11,39,15,12,15,15,57,96
Belize,Americas,2020,F,2,2,12,14,9,35,15,11,12,13,51,86
Benin,SSA,2020,PF,4,2,5,9,7,21,15,9,11,10,45,66
Bhutan,Asia,2020,PF,3,4,10,11,9,29,9,5,8,8,30,59
Bolivia,Americas,2020,PF,3,3,8,10,7,25,14,8,6,10,38,63
Bosnia and Herzegovina,Europe,2020,PF,4,4,6,9,4,19,10,7,7,10,34,53
Botswana,SSA,2020,F,3,2,10,10,8,28,12,10,11,11,44,72
Brazil,Americas,2020,F,2,2,10,14,7,31,14,9,8,13,44,75
Brunei,Asia,2020,NF,6,5,0,3,4,7,6,3,5,7,21,28
Bulgaria,Europe,2020,F,2,2,11,14,9,34,13,11,10,12,46,80
Burkina Faso,SSA,2020,PF,4,4,7,10,6,23,11,8,6,8,33,56
Burundi,SSA,2020,NF,7,6,0,3,0,3,4,1,1,4,10,13
Cabo Verde,SSA,2020,F,1,1,12,16,10,38,16,11,14,13,54,92
Cambodia,Asia,2020,NF,7,5,1,2,2,5,8,3,3,6,20,25
Cameroon,SSA,2020,NF,6,6,1,3,3,7,4,2,1,4,11,18
Canada,Americas,2020,F,1,1,12,16,12,40,15,12,15,16,58,98
Central African Republic,SSA,2020,NF,7,7,3,2,0,4,4,1,1,0,6,10
Chad,SSA,2020,NF,7,6,1,1,1,3,6,4,1,3,14,17
Chile,Americas,2020,F,1,2,12,15,11,38,15,10,13,14,52,90
China,Asia,2020,NF,7,6,0,0,2,-1,1,2,2,6,11,10
Colombia,Americas,2020,PF,3,3,10,11,8,29,12,6,9,10,37,66
Comoros,SSA,2020,PF,4,4,6,8,4,18,8,6,6,6,26,44
Congo (Brazzaville),SSA,2020,NF,7,5,0,2,0,2,7,4,1,6,18,20
Congo (Kinshasa),SSA,2020,NF,7,6,1,2,1,4,7,3,0,4,14,18
Costa Rica,Americas,2020,F,1,1,12,15,11,38,16,11,13,13,53,91
Cote d'Ivoire,SSA,2020,PF,4,4,7,8,4,19,11,8,6,7,32,51
Crimea,Eurasia,2020,NF,7,6,0,0,0,-2,3,1,0,6,10,8
Croatia,Europe,2020,F,1,2,12,14,10,36,13,12,11,13,49,85
Cuba,Americas,2020,NF,7,6,0,0,1,1,5,0,2,6,13,14
Cyprus,Europe,2020,F,1,1,12,15,11,38,15,12,15,14,56,94
Czech Republic,Europe,2020,F,1,1,12,15,9,36,14,12,14,15,55,91
Denmark,Europe,2020,F,1,1,12,16,12,40,16,12,14,15,57,97
Djibouti,SSA,2020,NF,7,5,2,3,0,5,6,3,4,6,19,24
Dominica,Americas,2020,F,1,1,11,16,10,37,15,11,15,15,56,93
Dominican Republic,Americas,2020,PF,3,3,9,10,7,26,14,10,8,9,41,67
Eastern Donbas,Eurasia,2020,NF,7,7,0,0,0,-1,2,0,0,4,6,5
Ecuador,Americas,2020,PF,3,3,8,12,7,27,12,8,8,10,38,65
Egypt,MENA,2020,NF,6,6,2,3,2,7,4,1,3,6,14,21
El Salvador,Americas,2020,PF,2,4,11,13,8,32,11,8,7,8,34,66
Equatorial Guinea,SSA,2020,NF,7,7,0,0,0,0,3,0,0,3,6,6
Eritrea,SSA,2020,NF,7,7,0,0,1,1,0,0,0,1,1,2
Estonia,Europe,2020,F,1,1,12,15,11,38,16,12,14,14,56,94
Eswatini,SSA,2020,NF,7,5,0,1,0,1,5,3,5,5,18,19
Ethiopia,SSA,2020,NF,6,6,2,5,3,10,4,4,2,4,14,24
