country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
Abkhazia,Eurasia,2017,PF,4,5,6,8,4,18,8,6,4,5,23,41
Afghanistan,Asia,2017,NF,6,6,2,6,2,10,6,4,2,2,14,24
Albania,Europe,2017,PF,3,3,8,13,7,28,13,9,9,9,40,68
Algeria,MENA,2017,NF,6,5,4,4,3,11,7,5,5,7,24,35
Andorra,Europe,2017,F,1,1,12,15,12,39,15,11,15,15,56,95
Angola,SSA,2017,NF,6,6,3,6,1,10,5,3,3,3,14,24
Antigua and Barbuda,Americas,2017,F,2,2,12,13,8,33,15,9,13,13,50,83
Argentina,Americas,2017,F,2,2,11,14,8,33,14,11,10,14,49,82
Armenia,Eurasia,2017,PF,5,4,5,7,4,16,9,6,5,9,29,45
Australia,Asia,2017,F,1,1,12,16,12,40,16,12,15,15,58,98
Austria,Europe,2017,F,1,1,12,15,10,37,16,12,15,15,58,95
Azerbaijan,Eurasia,2017,NF,7,6,1,2,1,4,2,1,2,5,10,14
Bahamas,Americas,2017,F,1,1,12,16,10,38,15,12,13,13,53,91
Bahrain,MENA,2017,NF,7,6,2,0,3,2,2,1,1,6,10,12
Bangladesh,Asia,2017,PF,4,4,7,8,5,20,7,6,5,9,27,47
Barbados,Americas,2017,F,1,1,12,16,12,40,16,12,15,15,58,98
Belarus,Eurasia,2017,NF,7,6,0,4,1,5,3,3,2,7,15,20
Belgium,Europe,2017,F,1,1,12,16,12,40,15,12,13,15,55,95
Belize,Americas,2017,F,1,2,12,14,10,36,15,11,12,13,51,87
Benin,SSA,2017,F,2,2,9,16,8,33,15,12,12,10,49,82
Bhutan,Asia,2017,PF,3,4,10,10,9,28,9,4,6,8,27,55
Bolivia,Americas,2017,PF,3,3,11,11,7,29,14,9,6,10,39,68
Bosnia and Herzegovina,Europe,2017,PF,4,4,7,10,4,21,10,7,7,10,34,55
Botswana,SSA,2017,F,3,2,10,10,8,28,12,10,11,11,44,72
Brazil,Americas,2017,F,2,2,11,14,6,31,15,10,10,13,48,79
Brunei,Asia,2017,NF,6,5,0,3,3,7,6,3,6,7,22,29
Bulgaria,Europe,2017,F,2,2,11,14,8,33,14,11,10,12,47,80
Burkina Faso,SSA,2017,PF,4,3,7,10,6,23,14,9,8,9,40,63
Burundi,SSA,2017,NF,7,6,1,4,0,5,6,2,1,5,14,19
Cambodia,Asia,2017,NF,6,5,4,4,3,11,8,3,3,6,20,31
Cameroon,SSA,2017,NF,6,6,3,3,3,9,7,3,1,4,15,24
Canada,Americas,2017,F,1,1,12,16,12,40,16,12,15,16,59,99
Cape Verde,SSA,2017,F,1,1,12,15,10,37,15,11,14,13,53,90
Central African Republic,SSA,2017,NF,7,7,3,2,0,4,4,1,0,1,6,10
Chad,SSA,2017,NF,7,6,2,1,1,4,6,4,1,3,14,18
Chile,Americas,2017,F,1,1,12,15,10,37,16,12,14,15,57,94
China,Asia,2017,NF,7,6,0,1,2,1,3,3,2,6,14,15
Colombia,Americas,2017,PF,3,3,10,11,8,29,12,5,8,10,35,64
Comoros,SSA,2017,PF,3,4,9,11,4,24,10,7,8,6,31,55
Congo (Brazzaville),SSA,2017,NF,7,5,1,2,2,5,7,6,2,7,22,27
Congo (Kinshasa),SSA,2017,NF,7,6,0,3,1,4,8,3,0,4,15,19
Costa Rica,Americas,2017,F,1,1,12,15,11,38,16,11,13,13,53,91
Cote d'Ivoire,SSA,2017,PF,4,4,7,8,5,20,11,8,6,7,32,52
Crimea,Eurasia,2017,NF,7,6,0,0,0,-1,3,1,0,6,10,9
Croatia,Europe,2017,F,1,2,12,15,10,37,14,12,11,13,50,87
Cuba,Americas,2017,NF,7,6,0,0,1,1,5,0,3,6,14,15
Cyprus,Europe,2017,F,1,1,11,16,11,38,15,12,15,14,56,94
Czech Republic,Europe,2017,F,1,1,12,15,11,38,15,12,14,15,56,94
Denmark,Europe,2017,F,1,1,12,16,12,40,16,12,14,15,57,97
Djibouti,SSA,2017,NF,6,5,2,3,2,7,6,3,4,6,19,26
Dominica,Americas,2017,F,1,1,12,16,10,38,15,12,15,15,57,95
Dominican Republic,Americas,2017,PF,3,3,9,10,8,27,14,10,8,9,41,68
Ecuador,Americas,2017,PF,3,4,7,11,6,24,11,6,6,10,33,57
Egypt,MENA,2017,NF,6,5,3,4,2,9,5,4,2,6,17,26
El Salvador,Americas,2017,F,2,3,11,14,9,34,12,8,8,8,36,70
Equatorial Guinea,SSA,2017,NF,7,7,0,1,0,1,4,0,0,3,7,8
Eritrea,SSA,2017,NF,7,7,0,0,1,1,0,0,0,2,2,3
Estonia,Europe,2017,F,1,1,12,15,11,38,16,12,14,14,56,94
Ethiopia,SSA,2017,NF,7,6,1,0,3,4,2,0,2,4,8,12
Fiji,Asia,2017,PF,3,4,8,10,7,25,12,5,7,10,34,59
Finland,Europe,2017,F,1,1,12,16,12,40,16,12,16,16,60,100
France,Europe,2017,F,1,2,12,15,11,38,14,11,13,14,52,90
Gabon,SSA,2017,NF,6,5,2,3,3,8,9,4,6,5,24,32
Gaza Strip,MENA,2017,NF,7,6,0,2,1,3,4,3,0,2,9,12
Georgia,Eurasia,2017,PF,3,3,9,11,7,27,11,8,8,10,37,64
Germany,Europe,2017,F,1,1,12,15,12,39,15,12,14,15,56,95
Ghana,SSA,2017,F,1,2,12,15,10,37,14,11,11,10,46,83
Greece,Europe,2017,F,2,2,12,15,8,35,14,11,11,13,49,84
Grenada,Americas,2017,F,1,2,12,16,10,38,15,11,12,13,51,89
Guatemala,Americas,2017,PF,4,4,8,10,5,23,11,6,6,8,31,54
Guinea,SSA,2017,PF,5,5,6,8,3,17,10,5,4,5,24,41
Guinea-Bissau,SSA,2017,PF,5,5,7,8,1,16,10,5,4,5,24,40
Guyana,Americas,2017,F,2,3,11,13,8,32,15,10,8,9,42,74
Haiti,Americas,2017,PF,5,5,3,8,4,15,10,4,4,6,24,39
Honduras,Americas,2017,PF,4,4,7,8,4,19,9,5,5,8,27,46
Hong Kong,Asia,2017,PF,5,2,3,7,6,16,12,8,12,13,45,61
Hungary,Europe,2017,F,3,2,9,13,7,29,13,11,10,13,47,76
Iceland,Europe,2017,F,1,1,12,16,10,38,16,12,15,16,59,97
India,Asia,2017,F,2,3,12,14,9,35,13,10,9,10,42,77
