country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
Abkhazia,Eurasia,2010,PF,5,5,5,5,4,14,7,5,4,5,21,35
Afghanistan,Asia,2010,NF,6,6,4,6,1,11,5,4,2,5,16,27
Albania,Europe,2010,PF,3,3,8,11,7,26,13,8,9,9,39,65
Algeria,MENA,2010,NF,6,5,4,4,3,11,7,6,5,7,25,36
Andorra,Europe,2010,F,1,1,12,15,12,39,16,11,15,15,57,96
Angola,SSA,2010,NF,6,5,3,6,1,10,8,6,4,3,21,31
Antigua and Barbuda,Americas,2010,F,3,2,11,12,6,29,13,9,12,13,47,76
Argentina,Americas,2010,F,2,2,11,15,6,32,14,11,10,13,48,80
Armenia,Eurasia,2010,PF,6,4,4,4,3,11,8,5,6,9,28,39
Australia,Asia,2010,F,1,1,12,15,12,39,16,12,14,15,57,96
Austria,Europe,2010,F,1,1,12,15,12,39,16,12,15,15,58,97
Azerbaijan,Eurasia,2010,NF,6,5,2,3,3,8,6,3,4,8,21,29
Bahamas,Americas,2010,F,1,1,12,16,10,38,16,12,15,15,58,96
Bahrain,MENA,2010,NF,6,5,3,6,4,11,8,3,3,7,21,32
Bangladesh,Asia,2010,PF,3,4,9,11,6,26,9,8,7,9,33,59
Barbados,Americas,2010,F,1,1,12,16,12,40,16,12,16,15,59,99
Belarus,Eurasia,2010,NF,7,6,0,3,1,4,3,1,2,5,11,15
Belgium,Europe,2010,F,1,1,12,16,12,40,16,12,15,15,58,98
Belize,Americas,2010,F,1,2,12,14,11,37,15,11,12,13,51,88
Benin,SSA,2010,F,2,2,9,15,8,32,15,12,11,10,48,80
Bhutan,Asia,2010,PF,4,5,7,7,6,19,8,3,5,8,24,43
Bolivia,Americas,2010,PF,3,3,11,12,5,28,14,10,7,9,40,68
Bosnia and Herzegovina,Europe,2010,PF,4,3,8,10,5,23,11,7,10,10,38,61
Botswana,SSA,2010,F,3,2,10,11,8,29,13,10,12,11,46,75
Brazil,Americas,2010,F,2,2,11,14,7,32,15,10,8,12,45,77
Brunei,Asia,2010,NF,6,5,0,3,3,7,6,3,6,8,23,30
Bulgaria,Europe,2010,F,2,2,12,15,8,35,14,11,11,11,47,82
Burkina Faso,SSA,2010,PF,5,3,5,8,4,17,13,8,6,8,35,52
Burundi,SSA,2010,PF,4,5,9,9,4,22,8,5,4,6,23,45
Cambodia,Asia,2010,NF,6,5,3,5,3,11,9,5,1,6,21,32
Cameroon,SSA,2010,NF,6,6,2,3,3,8,7,3,2,4,16,24
Canada,Americas,2010,F,1,1,12,16,12,40,16,12,15,16,59,99
Cape Verde,SSA,2010,F,1,1,12,15,10,37,15,11,14,13,53,90
Central African Republic,SSA,2010,PF,5,5,7,7,3,17,10,5,3,4,22,39
Chad,SSA,2010,NF,7,6,3,1,1,5,7,4,1,3,15,20
Chile,Americas,2010,F,1,1,12,15,12,39,16,12,15,15,58,97
China,Asia,2010,NF,7,6,0,1,1,1,4,3,2,7,16,17
Colombia,Americas,2010,PF,3,4,10,9,7,26,11,5,7,10,33,59
Comoros,SSA,2010,PF,3,4,9,11,5,25,10,6,8,6,30,55
Congo (Brazzaville),SSA,2010,NF,6,5,1,3,3,7,8,6,2,6,22,29
Congo (Kinshasa),SSA,2010,NF,6,6,6,3,2,11,6,3,0,1,10,21
Costa Rica,Americas,2010,F,1,1,12,15,11,38,16,11,13,13,53,91
Cote d'Ivoire,SSA,2010,NF,6,5,1,3,2,6,5,4,6,5,20,26
Croatia,Europe,2010,F,1,2,12,15,9,36,14,12,11,13,50,86
Cuba,Americas,2010,NF,7,6,0,0,1,1,2,1,2,3,8,9
Cyprus,Europe,2010,F,1,1,11,16,11,38,15,12,15,14,56,94
Czech Republic,Europe,2010,F,1,1,12,15,11,38,16,12,14,15,57,95
Denmark,Europe,2010,F,1,1,12,16,12,40,16,11,14,15,56,96
Djibouti,SSA,2010,PF,5,5,4,5,3,12,7,5,5,6,23,35
