country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
Abkhazia,Eurasia,2021,PF,5,5,5,8,4,17,8,6,4,5,23,40
Afghanistan,Asia,2021,NF,5,6,3,7,3,13,6,4,2,2,14,27
Albania,Europe,2021,PF,3,3,8,12,7,27,13,8,9,9,39,66
Algeria,MENA,2021,NF,6,5,3,4,3,10,6,3,6,7,22,32
Andorra,Europe,2021,F,1,1,12,15,11,38,14,11,15,15,55,93
Angola,SSA,2021,NF,6,5,3,5,2,10,7,6,5,3,21,31
Antigua and Barbuda,Americas,2021,F,2,2,12,13,8,33,15,10,14,13,52,85
Argentina,Americas,2021,F,2,2,11,16,8,35,15,11,10,13,49,84
Armenia,Eurasia,2021,PF,4,4,6,10,6,22,9,8,6,10,33,55
Australia,Asia,2021,F,1,1,12,16,12,40,15,12,15,15,57,97
Austria,Europe,2021,F,1,1,12,15,10,37,14,12,15,15,56,93
Azerbaijan,Eurasia,2021,NF,7,6,0,2,0,2,2,1,0,5,8,10
Bahamas,Americas,2021,F,1,1,12,16,10,38,15,12,13,13,53,91
Bahrain,MENA,2021,NF,7,6,2,0,2,2,2,1,1,6,10,12
Bangladesh,Asia,2021,PF,5,5,4,7,4,15,6,5,4,9,24,39
Barbados,Americas,2021,F,1,1,12,16,10,38,16,12,14,15,57,95
Belarus,Eurasia,2021,NF,7,6,0,1,1,2,2,1,1,5,9,11
Belgium,Europe,2021,F,1,1,12,16,11,39,15,12,15,15,57,96
Belize,Americas,2021,F,2,1,12,14,8,34,16,11,13,13,53,87
Benin,SSA,2021,PF,4,2,5,9,7,21,14,9,11,10,44,65
Bhutan,Asia,2021,PF,2,4,10,12,9,30,9,5,8,9,31,61
Bolivia,Americas,2021,PF,3,3,10,10,7,27,14,9,6,10,39,66
Bosnia and Herzegovina,Europe,2021,PF,4,4,6,9,4,19,10,7,7,10,34,53
Botswana,SSA,2021,F,3,2,10,10,8,28,12,10,11,11,44,72
Brazil,Americas,2021,F,2,3,10,14,7,31,14,9,8,12,43,74
Brunei,Asia,2021,NF,6,5,0,3,4,7,6,3,5,7,21,28
Bulgaria,Europe,2021,F,2,2,11,14,8,33,13,11,10,11,45,78
Burkina Faso,SSA,2021,PF,4,4,7,10,6,23,11,8,5,7,31,54
Burundi,SSA,2021,NF,7,6,1,3,0,4,4,1,1,4,10,14
Cabo Verde,SSA,2021,F,1,1,12,16,10,38,16,11,14,13,54,92
Cambodia,Asia,2021,NF,7,5,1,2,2,5,7,3,3,6,19,24
Cameroon,SSA,2021,NF,6,6,1,3,3,7,4,2,0,3,9,16
Canada,Americas,2021,F,1,1,12,16,12,40,15,12,15,16,58,98
Central African Republic,SSA,2021,NF,7,7,2,2,0,3,4,1,1,0,6,9
Chad,SSA,2021,NF,7,6,1,1,1,3,6,4,1,3,14,17
Chile,Americas,2021,F,1,1,12,15,11,38,16,11,13,15,55,93
China,Asia,2021,NF,7,6,0,0,1,-2,1,2,2,6,11,9
Colombia,Americas,2021,PF,3,3,10,11,8,29,12,6,9,9,36,65
Comoros,SSA,2021,PF,5,4,5,7,4,16,8,6,6,6,26,42
Congo (Brazzaville),SSA,2021,NF,7,5,0,2,0,2,7,4,1,6,18,20
Congo (Kinshasa),SSA,2021,NF,7,6,1,2,2,5,7,3,1,4,15,20
Costa Rica,Americas,2021,F,1,1,12,15,11,38,16,11,13,13,53,91
Cote d'Ivoire,SSA,2021,PF,5,4,5,7,4,16,9,6,6,7,28,44
Crimea,Eurasia,2021,NF,7,6,0,0,0,-2,2,1,0,6,9,7
Croatia,Europe,2021,F,1,2,12,14,10,36,13,12,11,13,49,85
Cuba,Americas,2021,NF,7,6,0,0,1,1,4,0,2,6,12,13
Cyprus,Europe,2021,F,1,1,12,15,11,38,15,12,15,14,56,94
Czech Republic,Europe,2021,F,1,1,12,15,9,36,14,12,14,15,55,91
Denmark,Europe,2021,F,1,1,12,16,12,40,16,12,14,15,57,97
Djibouti,SSA,2021,NF,7,5,2,3,0,5,6,3,4,6,19,24
Dominica,Americas,2021,F,1,1,11,16,10,37,15,11,15,15,56,93
Dominican Republic,Americas,2021,PF,3,3,9,10,7,26,14,10,8,9,41,67
Eastern Donbas,Eurasia,2021,NF,7,7,0,0,0,-1,2,0,0,3,5,4
Ecuador,Americas,2021,PF,3,3,8,12,7,27,13,9,8,10,40,67
Egypt,MENA,2021,NF,6,6,2,2,2,6,3,1,2,6,12,18
El Salvador,Americas,2021,PF,2,4,11,13,6,30,11,8,7,7,33,63
Equatorial Guinea,SSA,2021,NF,7,7,0,0,0,0,2,0,0,3,5,5
Eritrea,SSA,2021,NF,7,7,0,0,1,1,0,0,0,1,1,2
Estonia,Europe,2021,F,1,1,12,15,11,38,16,12,14,14,56,94
Eswatini,SSA,2021,NF,7,5,0,1,0,1,5,3,5,5,18,19
Ethiopia,SSA,2021,NF,6,6,2,4,3,9,4,4,2,3,13,22
Fiji,Asia,2021,PF,3,3,8,9,7,24,12,7,7,10,36,60
Finland,Europe,2021,F,1,1,12,16,12,40,16,12,16,16,60,100
France,Europe,2021,F,1,2,12,15,11,38,14,11,13,14,52,90
Gabon,SSA,2021,NF,7,5,0,2,1,3,8,3,3,5,19,22
Gaza Strip,MENA,2021,NF,7,6,0,2,1,3,4,2,0,2,8,11
Georgia,Eurasia,2021,PF,4,3,7,9,7,23,10,7,8,12,37,60
Germany,Europe,2021,F,1,1,12,15,12,39,14,12,14,15,55,94
Ghana,SSA,2021,F,2,2,12,13,10,35,14,11,11,11,47,82
Greece,Europe,2021,F,1,2,12,15,10,37,14,11,11,14,50,87
Grenada,Americas,2021,F,1,2,11,16,10,37,15,11,13,13,52,89
Guatemala,Americas,2021,PF,4,4,7,10,4,21,11,6,6,8,31,52
