country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
Abkhazia,Eurasia,2014,PF,4,5,7,7,4,18,8,5,4,5,22,40
Afghanistan,Asia,2014,NF,6,6,3,6,2,11,6,4,2,3,15,26
Albania,Europe,2014,PF,3,3,8,13,6,27,13,9,9,9,40,67
Algeria,MENA,2014,NF,6,5,4,4,3,11,6,5,5,7,23,34
Andorra,Europe,2014,F,1,1,12,15,12,39,16,11,15,15,57,96
Angola,SSA,2014,NF,6,5,4,6,1,11,7,4,4,3,18,29
Antigua and Barbuda,Americas,2014,F,2,2,11,13,7,31,14,9,13,13,49,80
Argentina,Americas,2014,F,2,2,11,14,6,31,14,11,11,13,49,80
Armenia,Eurasia,2014,PF,5,4,5,6,3,14,8,6,6,9,29,43
Australia,Asia,2014,F,1,1,12,15,12,39,16,12,15,15,58,97
Austria,Europe,2014,F,1,1,12,15,11,38,16,12,15,15,58,96
Azerbaijan,Eurasia,2014,NF,6,6,1,3,2,6,4,2,4,6,16,22
Bahamas,Americas,2014,F,1,1,12,16,10,38,16,12,15,15,58,96
Bahrain,MENA,2014,NF,6,6,3,2,3,6,2,1,1,6,10,16
Bangladesh,Asia,2014,PF,3,4,9,10,5,24,8,6,6,9,29,53
Barbados,Americas,2014,F,1,1,12,16,12,40,16,12,16,15,59,99
Belarus,Eurasia,2014,NF,7,6,0,3,1,4,3,1,1,5,10,14
Belgium,Europe,2014,F,1,1,12,16,12,40,15,12,15,15,57,97
Belize,Americas,2014,F,1,2,12,14,10,36,15,11,12,13,51,87
Benin,SSA,2014,F,2,2,8,16,8,32,15,11,12,10,48,80
Bhutan,Asia,2014,PF,3,4,10,10,9,28,9,4,6,8,27,55
Bolivia,Americas,2014,PF,3,3,11,11,7,29,14,9,6,9,38,67
Bosnia and Herzegovina,Europe,2014,PF,3,3,8,10,6,24,10,7,10,10,37,61
Botswana,SSA,2014,F,3,2,10,10,8,28,13,10,12,11,46,74
Brazil,Americas,2014,F,2,2,11,14,8,33,15,10,10,13,48,81
Brunei,Asia,2014,NF,6,5,0,3,3,7,6,3,6,8,23,30
Bulgaria,Europe,2014,F,2,2,10,14,7,31,14,11,11,11,47,78
Burkina Faso,SSA,2014,PF,5,3,5,8,4,17,13,8,7,8,36,53
Burundi,SSA,2014,PF,5,5,4,6,2,12,8,4,4,6,22,34
Cambodia,Asia,2014,NF,6,5,3,4,3,10,9,3,2,6,20,30
Cameroon,SSA,2014,NF,6,6,3,3,2,8,7,3,2,4,16,24
Canada,Americas,2014,F,1,1,12,16,11,39,16,12,15,16,59,98
Cape Verde,SSA,2014,F,1,1,12,15,10,37,15,11,14,13,53,90
Central African Republic,SSA,2014,NF,7,7,0,1,0,0,4,1,0,1,6,6
Chad,SSA,2014,NF,7,6,3,1,1,5,7,4,2,3,16,21
Chile,Americas,2014,F,1,1,12,15,12,39,16,11,14,15,56,95
China,Asia,2014,NF,7,6,0,1,2,2,4,3,2,6,15,17
Colombia,Americas,2014,PF,3,4,10,11,7,28,12,5,7,10,34,62
Comoros,SSA,2014,PF,3,4,9,11,5,25,10,6,8,6,30,55
Congo (Brazzaville),SSA,2014,NF,6,5,1,3,3,7,8,6,2,7,23,30
Congo (Kinshasa),SSA,2014,NF,6,6,3,4,2,9,7,3,0,1,11,20
Costa Rica,Americas,2014,F,1,1,12,15,10,37,16,11,13,13,53,90
Cote d'Ivoire,SSA,2014,PF,5,4,6,7,4,17,10,7,5,6,28,45
Croatia,Europe,2014,F,1,2,12,15,9,36,14,12,11,13,50,86
Cuba,Americas,2014,NF,7,6,0,0,1,1,3,0,2,6,11,12
Cyprus,Europe,2014,F,1,1,11,16,10,37,15,11,15,14,55,92
Czech Republic,Europe,2014,F,1,1,12,15,10,37,16,12,14,15,57,94
Denmark,Europe,2014,F,1,1,12,16,12,40,16,12,15,15,58,98
Djibouti,SSA,2014,NF,6,5,3,3,3,9,7,3,4,6,20,29
Dominica,Americas,2014,F,1,1,12,16,10,38,15,12,15,15,57,95
Dominican Republic,Americas,2014,F,2,3,10,11,9,30,15,10,8,10,43,73
Ecuador,Americas,2014,PF,3,3,7,11,6,24,13,7,6,10,36,60
Egypt,MENA,2014,NF,6,5,1,6,2,9,6,4,4,8,22,31
El Salvador,Americas,2014,F,2,3,12,14,9,35,15,8,9,10,42,77
Equatorial Guinea,SSA,2014,NF,7,7,0,1,0,1,4,0,0,3,7,8
Eritrea,SSA,2014,NF,7,7,0,0,1,1,0,0,0,2,2,3
Estonia,Europe,2014,F,1,1,12,15,12,39,16,12,14,14,56,95
Ethiopia,SSA,2014,NF,6,6,1,2,4,7,3,0,3,5,11,18
Fiji,Asia,2014,PF,6,4,0,5,2,7,11,3,6,10,30,37
Finland,Europe,2014,F,1,1,12,16,12,40,16,12,16,16,60,100
France,Europe,2014,F,1,1,12,15,11,38,15,12,15,15,57,95
Gabon,SSA,2014,NF,6,5,2,4,3,9,10,4,6,5,25,34
Gaza Strip,MENA,2014,NF,7,6,2,2,1,5,4,3,0,3,10,15
Georgia,Eurasia,2014,PF,3,3,8,10,7,25,12,8,8,10,38,63
Germany,Europe,2014,F,1,1,12,15,12,39,15,12,15,15,57,96
Ghana,SSA,2014,F,1,2,12,15,10,37,14,11,12,10,47,84
Greece,Europe,2014,F,2,2,12,15,8,35,14,11,10,13,48,83
Grenada,Americas,2014,F,1,2,12,16,10,38,15,11,12,13,51,89
Guatemala,Americas,2014,PF,3,4,9,10,5,24,12,6,6,8,32,56
Guinea,SSA,2014,PF,5,5,6,8,3,17,9,6,4,5,24,41
Guinea-Bissau,SSA,2014,NF,6,5,3,5,1,9,10,5,3,5,23,32
Guyana,Americas,2014,F,2,3,11,13,7,31,15,10,7,9,41,72
Haiti,Americas,2014,PF,4,5,4,9,5,18,10,5,4,6,25,43
Honduras,Americas,2014,PF,4,4,7,9,4,20,11,6,5,9,31,51
Hong Kong,Asia,2014,PF,5,2,3,7,6,16,14,9,15,13,51,67
Hungary,Europe,2014,F,1,2,12,15,9,36,15,12,11,14,52,88
Iceland,Europe,2014,F,1,1,12,16,12,40,16,12,16,16,60,100
India,Asia,2014,F,2,3,11,14,9,34,13,11,9,10,43,77
Indian Kashmir,Asia,2014,PF,4,4,8,8,4,20,9,6,6,8,29,49
Indonesia,Asia,2014,PF,2,4,11,13,6,30,12,8,5,9,34,64
Iran,MENA,2014,NF,6,6,3,2,2,7,2,1,3,4,10,17
Iraq,MENA,2014,NF,5,6,7,5,1,12,5,4,0,4,13,25
Ireland,Europe,2014,F,1,1,12,16,11,39,16,12,15,15,58,97
Israel,MENA,2014,F,1,2,12,14,10,36,12,11,11,11,45,81
Italy,Europe,2014,F,1,1,12,15,10,37,15,12,12,14,53,90
Jamaica,Americas,2014,F,2,3,12,13,9,34,15,9,6,10,40,74
Japan,Asia,2014,F,1,1,12,15,10,37,14,11,15,13,53,90
Jordan,MENA,2014,NF,6,5,2,6,3,11,7,3,6,8,24,35
Kazakhstan,Eurasia,2014,NF,6,5,2,3,1,6,4,3,4,8,19,25
Kenya,SSA,2014,PF,4,4,7,10,5,22,11,7,6,7,31,53
Kiribati,Asia,2014,F,1,1,12,16,8,36,15,12,15,13,55,91
Kosovo,Europe,2014,PF,5,4,6,9,3,17,8,6,5,7,26,43
Kuwait,MENA,2014,PF,5,5,2,9,5,16,6,4,7,6,23,39
Kyrgyzstan,Eurasia,2014,PF,5,5,6,6,4,14,9,5,4,7,25,39
Laos,Asia,2014,NF,7,6,0,0,1,1,4,0,2,5,11,12
Latvia,Europe,2014,F,2,2,12,14,7,33,15,12,12,12,51,84
Lebanon,MENA,2014,PF,5,4,4,9,3,16,11,7,5,9,32,48
Lesotho,SSA,2014,F,2,3,10,13,8,31,14,7,11,9,41,72
Liberia,SSA,2014,PF,3,4,9,11,6,26,10,8,7,8,33,59
Libya,MENA,2014,PF,4,5,9,9,3,21,8,5,1,6,20,41
Liechtenstein,Europe,2014,F,1,1,12,15,12,39,16,12,15,16,59,98
Lithuania,Europe,2014,F,1,1,12,16,9,37,16,11,13,13,53,90
Luxembourg,Europe,2014,F,1,1,12,16,11,39,16,12,16,16,60,99
Macedonia,Europe,2014,PF,3,3,8,11,7,26,11,8,8,11,38,64
Madagascar,SSA,2014,PF,5,4,6,8,1,15,9,7,5,7,28,43
Malawi,SSA,2014,PF,3,4,8,11,7,26,11,7,9,7,34,60
