country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
Abkhazia,Eurasia,2008,PF,5,5,5,6,4,15,8,4,4,5,21,36
Afghanistan,Asia,2008,PF,5,5,6,7,4,17,5,4,3,5,17,34
Albania,Europe,2008,PF,3,3,8,11,7,26,12,8,10,9,39,65
Algeria,MENA,2008,NF,6,5,4,4,3,11,7,6,5,7,25,36
Andorra,Europe,2008,F,1,1,12,15,12,39,16,11,15,15,57,96
Angola,SSA,2008,NF,6,5,2,5,1,8,8,6,4,3,21,29
Antigua and Barbuda,Americas,2008,F,2,2,11,12,7,30,13,9,12,13,47,77
Argentina,Americas,2008,F,2,2,11,15,6,32,14,11,10,13,48,80
Armenia,Eurasia,2008,PF,5,4,5,5,4,14,8,5,6,9,28,42
Australia,Asia,2008,F,1,1,12,15,12,39,16,12,14,15,57,96
Austria,Europe,2008,F,1,1,12,16,12,40,16,12,15,15,58,98
Azerbaijan,Eurasia,2008,NF,6,5,3,4,3,10,6,3,4,8,21,31
Bahamas,Americas,2008,F,1,1,12,16,10,38,16,12,15,15,58,96
Bahrain,MENA,2008,PF,5,5,3,8,4,15,9,3,3,7,22,37
Bangladesh,Asia,2008,PF,5,4,3,5,4,12,7,6,6,9,28,40
Barbados,Americas,2008,F,1,1,12,16,12,40,16,12,16,15,59,99
Belarus,Eurasia,2008,NF,7,6,0,2,1,3,3,0,2,5,10,13
Belgium,Europe,2008,F,1,1,12,16,11,39,16,12,15,15,58,97
Belize,Americas,2008,F,1,2,12,14,10,36,15,11,12,13,51,87
Benin,SSA,2008,F,2,2,10,15,8,33,15,12,12,10,49,82
Bhutan,Asia,2008,NF,6,5,3,4,5,11,7,3,5,8,23,34
Bolivia,Americas,2008,PF,3,3,11,13,5,29,15,10,7,9,41,70
Bosnia and Herzegovina,Europe,2008,PF,4,3,8,10,5,23,11,8,10,10,39,62
Botswana,SSA,2008,F,2,2,11,11,9,31,14,10,13,11,48,79
Brazil,Americas,2008,F,2,2,11,14,6,31,15,10,8,12,45,76
Brunei,Asia,2008,NF,6,5,0,3,3,7,6,3,6,8,23,30
Bulgaria,Europe,2008,F,1,2,12,15,9,36,14,11,12,12,49,85
Burkina Faso,SSA,2008,PF,5,3,5,8,4,17,13,9,6,8,36,53
Burundi,SSA,2008,PF,4,5,9,9,4,22,8,5,4,6,23,45
Cambodia,Asia,2008,NF,6,5,3,5,3,11,10,6,2,6,24,35
Cameroon,SSA,2008,NF,6,6,2,4,3,9,7,3,2,4,16,25
Canada,Americas,2008,F,1,1,12,16,12,40,16,12,15,16,59,99
Cape Verde,SSA,2008,F,1,1,12,15,10,37,15,11,14,13,53,90
Central African Republic,SSA,2008,PF,5,5,7,7,3,17,10,6,3,4,23,40
Chad,SSA,2008,NF,7,6,3,1,1,5,7,4,1,3,15,20
Chechnya,Eurasia,2008,NF,7,7,0,0,0,0,4,0,0,3,7,7
Chile,Americas,2008,F,1,1,12,15,12,39,16,12,15,15,58,97
China,Asia,2008,NF,7,6,0,1,1,2,4,2,2,8,16,18
Colombia,Americas,2008,PF,3,3,10,9,7,26,12,6,7,10,35,61
Comoros,SSA,2008,PF,4,4,8,11,4,23,10,6,8,6,30,53
Congo (Brazzaville),SSA,2008,NF,6,5,1,4,3,8,9,7,2,6,24,32
Congo (Kinshasa),SSA,2008,NF,5,6,6,5,2,13,6,5,0,1,12,25
Costa Rica,Americas,2008,F,1,1,12,15,11,38,16,11,13,13,53,91
Cote d'Ivoire,SSA,2008,NF,7,5,1,2,2,5,5,4,5,5,19,24
Croatia,Europe,2008,F,2,2,12,14,9,35,14,12,11,13,50,85
Cuba,Americas,2008,NF,7,7,0,0,1,1,2,1,1,2,6,7
Cyprus,Europe,2008,F,1,1,11,16,11,38,15,12,15,15,57,95
Czech Republic,Europe,2008,F,1,1,12,15,11,38,16,12,14,15,57,95
Denmark,Europe,2008,F,1,1,12,16,12,40,16,12,15,15,58,98
Djibouti,SSA,2008,PF,5,5,4,5,3,12,6,5,5,6,22,34
Dominica,Americas,2008,F,1,1,12,16,11,39,16,12,15,15,58,97
Dominican Republic,Americas,2008,F,2,2,11,13,9,33,15,11,10,11,47,80
Ecuador,Americas,2008,PF,3,3,9,14,4,27,15,11,6,10,42,69
Egypt,MENA,2008,NF,6,5,1,4,2,7,5,2,4,7,18,25
El Salvador,Americas,2008,F,2,3,12,13,8,33,15,8,7,10,40,73
Equatorial Guinea,SSA,2008,NF,7,6,0,1,0,1,5,0,1,3,9,10
Eritrea,SSA,2008,NF,7,6,0,1,2,3,2,0,2,6,10,13
Estonia,Europe,2008,F,1,1,12,14,12,38,16,12,14,14,56,94
Ethiopia,SSA,2008,PF,5,5,5,4,4,13,7,3,4,6,20,33
Fiji,Asia,2008,PF,6,4,0,5,2,7,11,4,7,10,32,39
Finland,Europe,2008,F,1,1,12,16,12,40,16,12,16,16,60,100
France,Europe,2008,F,1,1,12,15,11,38,15,12,13,15,55,93
Gabon,SSA,2008,PF,6,4,2,5,3,10,10,6,6,5,27,37
Georgia,Eurasia,2008,PF,4,4,8,6,6,20,11,7,6,10,34,54
Germany,Europe,2008,F,1,1,12,15,12,39,15,12,15,15,57,96
Ghana,SSA,2008,F,1,2,12,15,10,37,14,11,12,10,47,84
Greece,Europe,2008,F,1,2,12,15,10,37,15,11,13,13,52,89
Grenada,Americas,2008,F,1,2,12,16,9,37,15,9,12,15,51,88
Guatemala,Americas,2008,PF,3,4,9,10,5,24,12,8,5,8,33,57
Guinea,SSA,2008,NF,6,5,2,5,3,10,8,5,4,6,23,33
Guinea-Bissau,SSA,2008,PF,4,4,9,9,3,21,10,8,6,6,30,51
Guyana,Americas,2008,F,2,3,11,13,7,31,15,10,8,9,42,73
Haiti,Americas,2008,PF,4,5,7,10,5,22,10,6,4,5,25,47
Honduras,Americas,2008,PF,3,3,9,10,6,25,12,8,7,9,36,61
Hong Kong,Asia,2008,PF,5,2,3,7,6,16,14,10,14,13,51,67
Hungary,Europe,2008,F,1,1,12,15,10,37,16,12,13,14,55,92
Iceland,Europe,2008,F,1,1,12,16,12,40,16,12,16,16,60,100
India,Asia,2008,F,2,3,11,14,9,34,13,10,9,10,42,76
