country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
Abkhazia,Eurasia,2011,PF,5,5,5,6,4,15,8,5,4,5,22,37
Afghanistan,Asia,2011,NF,6,6,3,6,1,10,5,4,2,4,15,25
Albania,Europe,2011,PF,3,3,8,11,7,26,13,9,9,9,40,66
Algeria,MENA,2011,NF,6,5,4,4,3,11,7,6,5,7,25,36
Andorra,Europe,2011,F,1,1,12,15,12,39,16,11,15,15,57,96
Angola,SSA,2011,NF,6,5,3,6,1,10,8,6,4,3,21,31
Antigua and Barbuda,Americas,2011,F,3,2,11,12,6,29,13,9,13,13,48,77
Argentina,Americas,2011,F,2,2,11,15,6,32,14,11,10,13,48,80
Armenia,Eurasia,2011,PF,6,4,4,4,3,11,8,5,6,9,28,39
Australia,Asia,2011,F,1,1,12,15,12,39,16,12,14,15,57,96
Austria,Europe,2011,F,1,1,12,15,12,39,16,12,15,15,58,97
Azerbaijan,Eurasia,2011,NF,6,5,1,3,3,7,6,3,4,8,21,28
Bahamas,Americas,2011,F,1,1,12,16,10,38,16,12,15,15,58,96
Bahrain,MENA,2011,NF,6,5,3,6,4,11,8,3,1,7,19,30
Bangladesh,Asia,2011,PF,3,4,9,11,6,26,9,9,7,9,34,60
Barbados,Americas,2011,F,1,1,12,16,12,40,16,12,16,15,59,99
Belarus,Eurasia,2011,NF,7,6,0,3,1,4,3,1,2,5,11,15
Belgium,Europe,2011,F,1,1,12,16,11,39,16,12,15,15,58,97
Belize,Americas,2011,F,1,2,12,14,11,37,15,11,12,13,51,88
Benin,SSA,2011,F,2,2,9,16,8,33,15,12,13,10,50,83
Bhutan,Asia,2011,PF,4,5,7,7,6,19,8,3,5,8,24,43
Bolivia,Americas,2011,PF,3,3,11,11,5,27,14,10,6,9,39,66
Bosnia and Herzegovina,Europe,2011,PF,4,3,8,10,5,23,10,7,10,10,37,60
Botswana,SSA,2011,F,3,2,10,11,8,29,13,10,12,11,46,75
Brazil,Americas,2011,F,2,2,11,14,7,32,15,10,9,12,46,78
Brunei,Asia,2011,NF,6,5,0,3,3,7,6,3,6,8,23,30
Bulgaria,Europe,2011,F,2,2,12,15,8,35,14,11,11,11,47,82
Burkina Faso,SSA,2011,PF,5,3,5,8,4,17,13,8,7,8,36,53
Burundi,SSA,2011,PF,5,5,4,6,3,13,8,4,4,6,22,35
Cambodia,Asia,2011,NF,6,5,3,3,3,9,9,4,1,6,20,29
Cameroon,SSA,2011,NF,6,6,2,3,2,7,7,3,2,4,16,23
Canada,Americas,2011,F,1,1,12,16,12,40,16,12,15,16,59,99
Cape Verde,SSA,2011,F,1,1,12,15,10,37,15,11,14,13,53,90
Central African Republic,SSA,2011,PF,5,5,5,7,3,15,10,5,3,4,22,37
Chad,SSA,2011,NF,7,6,3,1,1,5,7,4,2,3,16,21
Chile,Americas,2011,F,1,1,12,15,12,39,16,12,15,15,58,97
China,Asia,2011,NF,7,6,0,1,2,2,4,3,2,6,15,17
Colombia,Americas,2011,PF,3,4,10,10,7,27,12,5,7,10,34,61
Comoros,SSA,2011,PF,3,4,9,11,5,25,10,6,8,6,30,55
Congo (Brazzaville),SSA,2011,NF,6,5,1,3,3,7,8,6,2,6,22,29
Congo (Kinshasa),SSA,2011,NF,6,6,6,3,2,11,6,3,0,1,10,21
Costa Rica,Americas,2011,F,1,1,12,15,11,38,16,11,13,13,53,91
Cote d'Ivoire,SSA,2011,NF,7,6,2,1,1,4,5,4,3,4,16,20
Croatia,Europe,2011,F,1,2,12,15,9,36,14,12,11,13,50,86
Cuba,Americas,2011,NF,7,6,0,0,1,1,3,1,2,3,9,10
Cyprus,Europe,2011,F,1,1,11,16,11,38,15,12,15,14,56,94
Czech Republic,Europe,2011,F,1,1,12,15,11,38,16,12,14,15,57,95
Denmark,Europe,2011,F,1,1,12,16,12,40,16,12,14,15,57,97
Djibouti,SSA,2011,NF,6,5,4,3,3,10,7,5,5,6,23,33
Dominica,Americas,2011,F,1,1,12,16,10,38,16,12,15,15,58,96
Dominican Republic,Americas,2011,F,2,2,10,12,9,31,15,11,8,11,45,76
Ecuador,Americas,2011,PF,3,3,9,14,5,28,14,9,6,10,39,67
Egypt,MENA,2011,NF,6,5,1,3,2,6,6,2,4,7,19,25
El Salvador,Americas,2011,F,2,3,12,14,8,34,15,8,8,10,41,75
Equatorial Guinea,SSA,2011,NF,7,7,0,1,0,1,4,0,0,3,7,8
Eritrea,SSA,2011,NF,7,7,0,1,1,2,1,0,0,4,5,7
Estonia,Europe,2011,F,1,1,12,15,12,39,16,12,14,14,56,95
Ethiopia,SSA,2011,NF,6,6,1,3,4,8,4,0,4,5,13,21
Fiji,Asia,2011,PF,6,4,0,5,2,7,10,4,6,10,30,37
Finland,Europe,2011,F,1,1,12,16,12,40,16,12,16,16,60,100
France,Europe,2011,F,1,1,12,15,11,38,16,12,14,15,57,95
Gabon,SSA,2011,NF,6,5,2,4,3,9,10,4,6,5,25,34
Gaza Strip,MENA,2011,NF,6,6,5,2,2,9,4,3,0,2,9,18
Georgia,Eurasia,2011,PF,4,3,6,8,6,20,12,7,7,10,36,56
Germany,Europe,2011,F,1,1,12,15,12,39,15,12,15,15,57,96
Ghana,SSA,2011,F,1,2,12,15,10,37,14,11,12,10,47,84
Greece,Europe,2011,F,1,2,12,15,9,36,14,12,11,13,50,86
Grenada,Americas,2011,F,1,2,12,16,10,38,15,10,12,14,51,89
Guatemala,Americas,2011,PF,4,4,9,10,4,23,12,8,6,8,34,57
Guinea,SSA,2011,PF,5,5,5,8,1,14,8,6,4,4,22,36
Guinea-Bissau,SSA,2011,PF,4,4,9,7,2,18,10,8,4,5,27,45
