country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
Abkhazia,Eurasia,2007,PF,5,5,5,5,3,13,8,4,4,5,21,34
Afghanistan,Asia,2007,PF,5,5,6,7,4,17,5,5,3,5,18,35
Albania,Europe,2007,PF,3,3,8,11,7,26,11,8,10,9,38,64
Algeria,MENA,2007,NF,6,5,4,4,3,11,7,6,5,7,25,36
Andorra,Europe,2007,F,1,1,12,15,12,39,16,11,15,15,57,96
Angola,SSA,2007,NF,6,5,2,5,1,8,8,6,4,3,21,29
Antigua and Barbuda,Americas,2007,F,2,2,11,12,7,30,13,9,12,13,47,77
Argentina,Americas,2007,F,2,2,11,15,7,33,14,11,10,13,48,81
Armenia,Eurasia,2007,PF,5,4,4,5,4,13,8,5,6,9,28,41
Australia,Asia,2007,F,1,1,12,15,12,39,16,12,14,15,57,96
Austria,Europe,2007,F,1,1,12,16,12,40,16,12,15,15,58,98
Azerbaijan,Eurasia,2007,NF,6,5,3,4,3,10,7,3,4,8,22,32
Bahamas,Americas,2007,F,1,1,12,16,10,38,16,12,15,15,58,96
Bahrain,MENA,2007,PF,5,5,3,9,4,16,8,3,4,5,20,36
Bangladesh,Asia,2007,PF,4,4,8,10,4,22,8,8,6,9,31,53
Barbados,Americas,2007,F,1,1,12,16,12,40,16,12,16,15,59,99
Belarus,Eurasia,2007,NF,7,6,0,3,1,4,3,0,2,5,10,14
Belgium,Europe,2007,F,1,1,12,16,12,40,16,12,15,15,58,98
Belize,Americas,2007,F,1,2,12,14,10,36,15,11,12,13,51,87
Benin,SSA,2007,F,2,2,10,15,8,33,15,12,12,10,49,82
Bhutan,Asia,2007,NF,6,5,3,1,5,10,7,2,4,8,21,31
Bolivia,Americas,2007,PF,3,3,11,13,4,28,15,11,8,9,43,71
Bosnia and Herzegovina,Europe,2007,PF,3,3,8,11,6,25,11,8,10,10,39,64
Botswana,SSA,2007,F,2,2,11,11,9,31,14,10,13,10,47,78
Brazil,Americas,2007,F,2,2,11,14,6,31,15,10,8,12,45,76
Brunei,Asia,2007,NF,6,5,0,3,3,7,6,3,6,8,23,30
Bulgaria,Europe,2007,F,1,2,12,15,9,36,14,11,12,12,49,85
Burkina Faso,SSA,2007,PF,5,3,5,8,4,17,14,9,6,8,37,54
Burundi,SSA,2007,PF,4,5,9,9,4,22,8,5,4,6,23,45
Cambodia,Asia,2007,NF,6,5,3,5,3,11,9,6,2,7,24,35
Cameroon,SSA,2007,NF,6,6,3,5,3,11,7,3,2,4,16,27
Canada,Americas,2007,F,1,1,12,16,12,40,16,12,15,16,59,99
Cape Verde,SSA,2007,F,1,1,12,15,10,37,15,11,14,13,53,90
Central African Republic,SSA,2007,PF,5,4,7,7,3,17,10,9,3,4,26,43
Chad,SSA,2007,NF,6,6,3,1,2,6,7,5,1,3,16,22
Chechnya,Eurasia,2007,NF,7,7,0,0,0,0,4,0,0,2,6,6
Chile,Americas,2007,F,1,1,12,15,12,39,16,12,15,15,58,97
China,Asia,2007,NF,7,6,0,1,1,2,4,2,2,7,15,17
Colombia,Americas,2007,PF,3,3,10,9,7,26,12,7,7,10,36,62
Comoros,SSA,2007,PF,3,4,9,11,4,24,10,6,8,6,30,54
Congo (Brazzaville),SSA,2007,NF,6,5,3,5,3,11,9,7,2,6,24,35
Congo (Kinshasa),SSA,2007,NF,5,6,6,6,2,14,6,5,0,1,12,26
Costa Rica,Americas,2007,F,1,1,12,15,11,38,16,11,13,13,53,91
Cote d'Ivoire,SSA,2007,NF,7,6,1,2,2,5,5,4,3,4,16,21
Croatia,Europe,2007,F,2,2,12,14,9,35,14,12,11,13,50,85
Cuba,Americas,2007,NF,7,7,0,0,1,1,2,1,1,2,6,7
Cyprus,Europe,2007,F,1,1,11,16,11,38,15,12,15,15,57,95
