country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
St. Lucia,Americas,2016,F,1,1,12,16,11,39,15,12,12,14,53,92
St. Vincent and the Grenadines,Americas,2016,F,1,1,11,16,10,37,15,12,13,14,54,91
Sudan,SSA,2016,NF,7,7,2,3,1,2,2,1,0,1,4,6
Suriname,Americas,2016,F,2,3,12,14,8,34,15,11,7,10,43,77
Swaziland,SSA,2016,NF,7,5,0,1,0,1,7,2,4,4,17,18
Sweden,Europe,2016,F,1,1,12,16,12,40,16,12,16,16,60,100
Switzerland,Europe,2016,F,1,1,12,15,12,39,15,12,15,15,57,96
Syria,MENA,2016,NF,7,7,0,0,0,-3,2,0,0,0,2,-1
Taiwan,Asia,2016,F,1,2,12,15,10,37,14,11,14,13,52,89
Tajikistan,Eurasia,2016,NF,7,6,1,0,1,2,4,3,3,4,14,16
Tanzania,SSA,2016,PF,3,4,8,12,7,27,9,6,9,9,33,60
Thailand,Asia,2016,NF,6,5,1,3,3,7,6,4,5,10,25,32
The Gambia,SSA,2016,NF,7,6,1,4,0,5,3,3,1,6,13,18
Tibet,Asia,2016,NF,7,7,0,0,1,-2,0,0,0,3,3,1
Timor-Leste,Asia,2016,PF,3,3,11,12,6,29,12,8,7,9,36,65
Togo,SSA,2016,PF,4,4,6,7,5,18,9,7,7,7,30,48
Tonga,Asia,2016,F,2,2,11,14,6,31,13,8,11,12,44,75
Transnistria,Eurasia,2016,NF,6,6,3,5,2,10,5,2,2,5,14,24
Trinidad and Tobago,Americas,2016,F,2,2,11,13,9,33,15,11,9,13,48,81
Tunisia,MENA,2016,F,1,3,12,16,9,37,13,9,9,11,42,79
Turkey,Europe,2016,PF,3,4,9,9,6,24,8,6,6,9,29,53
Turkmenistan,Eurasia,2016,NF,7,7,0,0,0,0,1,0,0,3,4,4
Tuvalu,Asia,2016,F,1,1,12,15,10,37,16,12,15,14,57,94
Uganda,SSA,2016,NF,6,5,3,5,3,11,9,4,5,7,25,36
Ukraine,Eurasia,2016,PF,3,3,9,10,6,25,11,9,6,10,36,61
United Arab Emirates,MENA,2016,NF,6,6,1,2,2,7,4,2,3,4,13,20
United Kingdom,Europe,2016,F,1,1,12,16,12,40,13,12,15,15,55,95
United States,Americas,2016,F,1,1,11,15,10,36,15,11,13,15,54,90
Uruguay,Americas,2016,F,1,1,12,16,12,40,16,12,15,15,58,98
Uzbekistan,Eurasia,2016,NF,7,7,0,0,0,0,0,0,0,3,3,3
Vanuatu,Asia,2016,F,2,2,9,15,7,31,15,11,10,11,47,78
Venezuela,Americas,2016,PF,5,5,5,8,2,15,8,3,1,8,20,35
Vietnam,Asia,2016,NF,7,5,0,1,2,3,4,1,4,8,17,20
West Bank,MENA,2016,NF,6,5,2,5,2,6,9,5,5,5,24,30
Western Sahara,MENA,2016,NF,7,7,0,0,0,-3,3,0,0,4,7,4
Yemen,MENA,2016,NF,7,6,2,1,1,4,5,3,2,3,13,17
Zambia,SSA,2016,PF,3,4,8,11,7,26,11,7,8,8,34,60
Zimbabwe,SSA,2016,PF,5,5,3,6,3,12,8,4,3,5,20,32
