country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
Abkhazia,Eurasia,2013,PF,4,5,7,7,4,18,8,5,4,5,22,40
Afghanistan,Asia,2013,NF,6,6,3,6,2,11,6,5,2,3,16,27
Albania,Europe,2013,PF,3,3,8,10,6,24,13,8,9,9,39,63
Algeria,MENA,2013,NF,6,5,4,4,3,11,7,5,5,7,24,35
Andorra,Europe,2013,F,1,1,12,15,12,39,16,11,15,15,57,96
Angola,SSA,2013,NF,6,5,4,6,1,11,8,4,4,3,19,30
Antigua and Barbuda,Americas,2013,F,2,2,11,13,7,31,14,9,13,13,49,80
Argentina,Americas,2013,F,2,2,11,14,6,31,14,11,11,13,49,80
Armenia,Eurasia,2013,PF,5,4,5,5,3,13,8,6,6,9,29,42
Australia,Asia,2013,F,1,1,12,15,12,39,16,12,15,15,58,97
Austria,Europe,2013,F,1,1,12,15,11,38,16,12,15,15,58,96
Azerbaijan,Eurasia,2013,NF,6,5,1,3,2,6,4,2,4,7,17,23
Bahamas,Americas,2013,F,1,1,12,16,10,38,16,12,15,15,58,96
Bahrain,MENA,2013,NF,6,6,3,2,3,6,3,2,1,6,12,18
Bangladesh,Asia,2013,PF,3,4,9,11,5,25,9,7,6,9,31,56
Barbados,Americas,2013,F,1,1,12,16,12,40,16,12,16,15,59,99
Belarus,Eurasia,2013,NF,7,6,0,3,1,4,3,1,1,5,10,14
Belgium,Europe,2013,F,1,1,12,16,12,40,15,12,15,15,57,97
Belize,Americas,2013,F,1,2,12,14,11,37,15,11,12,13,51,88
Benin,SSA,2013,F,2,2,8,16,8,32,15,12,13,10,50,82
Bhutan,Asia,2013,PF,4,5,8,8,7,22,8,3,5,8,24,46
Bolivia,Americas,2013,PF,3,3,11,11,7,29,14,10,7,9,40,69
Bosnia and Herzegovina,Europe,2013,PF,3,3,8,11,6,25,10,7,10,10,37,62
Botswana,SSA,2013,F,3,2,10,10,8,28,13,10,12,11,46,74
Brazil,Americas,2013,F,2,2,11,14,8,33,15,10,10,13,48,81
Brunei,Asia,2013,NF,6,5,0,3,3,7,6,3,6,8,23,30
Bulgaria,Europe,2013,F,2,2,11,15,8,34,14,11,11,11,47,81
Burkina Faso,SSA,2013,PF,5,3,5,8,4,17,13,8,7,8,36,53
Burundi,SSA,2013,PF,5,5,4,6,2,12,8,4,4,6,22,34
Cambodia,Asia,2013,NF,6,5,3,3,3,9,9,3,2,6,20,29
Cameroon,SSA,2013,NF,6,6,2,3,2,7,7,3,2,4,16,23
Canada,Americas,2013,F,1,1,12,16,12,40,16,11,15,16,58,98
Cape Verde,SSA,2013,F,1,1,12,15,10,37,15,11,14,13,53,90
Central African Republic,SSA,2013,PF,5,5,7,7,2,16,8,4,3,4,19,35
Chad,SSA,2013,NF,7,6,3,1,1,5,7,4,2,3,16,21
Chile,Americas,2013,F,1,1,12,15,12,39,16,11,15,15,57,96
China,Asia,2013,NF,7,6,0,1,2,2,4,3,2,6,15,17
Colombia,Americas,2013,PF,3,4,10,10,7,27,12,5,7,10,34,61
Comoros,SSA,2013,PF,3,4,9,11,5,25,10,6,8,6,30,55
Congo (Brazzaville),SSA,2013,NF,6,5,1,3,3,7,8,6,2,6,22,29
Congo (Kinshasa),SSA,2013,NF,6,6,3,4,2,9,7,3,0,1,11,20
Costa Rica,Americas,2013,F,1,1,12,15,11,38,16,11,13,13,53,91
Cote d'Ivoire,SSA,2013,PF,5,5,5,4,4,13,8,5,4,4,21,34
Croatia,Europe,2013,F,1,2,12,15,9,36,14,12,11,13,50,86
Cuba,Americas,2013,NF,7,6,0,0,1,1,2,0,2,6,10,11
Cyprus,Europe,2013,F,1,1,11,16,11,38,15,11,15,14,55,93
Czech Republic,Europe,2013,F,1,1,12,15,11,38,16,12,14,15,57,95
Denmark,Europe,2013,F,1,1,12,16,12,40,16,12,15,15,58,98
Djibouti,SSA,2013,NF,6,5,3,3,3,9,7,3,4,6,20,29
Dominica,Americas,2013,F,1,1,12,16,10,38,15,12,15,15,57,95
Dominican Republic,Americas,2013,F,2,2,10,12,9,31,15,10,8,11,44,75
Ecuador,Americas,2013,PF,3,3,7,11,6,24,13,7,6,10,36,60
Egypt,MENA,2013,PF,5,5,3,10,3,16,8,5,4,8,25,41
El Salvador,Americas,2013,F,2,3,12,14,9,35,15,8,9,10,42,77
Equatorial Guinea,SSA,2013,NF,7,7,0,1,0,1,4,0,0,3,7,8
Eritrea,SSA,2013,NF,7,7,0,0,1,1,0,0,0,2,2,3
Estonia,Europe,2013,F,1,1,12,15,12,39,16,12,14,14,56,95
Ethiopia,SSA,2013,NF,6,6,1,2,4,7,3,0,3,5,11,18
Fiji,Asia,2013,PF,6,4,0,5,2,7,11,3,6,10,30,37
Finland,Europe,2013,F,1,1,12,16,12,40,16,12,16,16,60,100
France,Europe,2013,F,1,1,12,15,11,38,15,12,15,15,57,95
Gabon,SSA,2013,NF,6,5,2,4,3,9,10,4,6,5,25,34
Gaza Strip,MENA,2013,NF,6,6,5,2,2,9,4,3,0,3,10,19
Georgia,Eurasia,2013,PF,3,3,7,10,7,24,12,7,7,10,36,60
Germany,Europe,2013,F,1,1,12,15,12,39,15,12,15,15,57,96
Ghana,SSA,2013,F,1,2,12,15,10,37,14,11,12,10,47,84
Greece,Europe,2013,F,2,2,12,15,8,35,14,11,10,13,48,83
Grenada,Americas,2013,F,1,2,12,16,10,38,15,11,12,13,51,89
Guatemala,Americas,2013,PF,3,4,9,10,5,24,12,7,6,8,33,57
Guinea,SSA,2013,PF,5,5,5,8,2,15,9,6,4,5,24,39
Guinea-Bissau,SSA,2013,NF,6,5,2,5,0,7,10,5,3,5,23,30
Guyana,Americas,2013,F,2,3,11,13,7,31,15,9,7,9,40,71
Haiti,Americas,2013,PF,4,5,5,9,5,19,10,5,4,5,24,43
Honduras,Americas,2013,PF,4,4,6,8,4,18,11,6,7,9,33,51
Hong Kong,Asia,2013,PF,5,2,3,7,6,16,14,9,15,13,51,67
Hungary,Europe,2013,F,1,2,12,15,9,36,15,12,11,14,52,88
Iceland,Europe,2013,F,1,1,12,16,12,40,16,12,16,16,60,100
India,Asia,2013,F,2,3,11,14,9,34,13,11,8,10,42,76
Indian Kashmir,Asia,2013,PF,4,4,8,8,4,20,9,6,6,8,29,49
Indonesia,Asia,2013,F,2,3,11,13,6,30,12,9,5,9,35,65
Iran,MENA,2013,NF,6,6,2,2,2,6,2,1,3,4,10,16
Iraq,MENA,2013,NF,6,6,7,4,1,11,5,4,0,4,13,24
Ireland,Europe,2013,F,1,1,12,16,11,39,16,12,15,15,58,97
Israel,MENA,2013,F,1,2,12,14,10,36,12,11,11,11,45,81
Italy,Europe,2013,F,2,1,11,15,9,35,15,12,12,14,53,88
Jamaica,Americas,2013,F,2,3,12,13,8,33,15,9,6,10,40,73
Japan,Asia,2013,F,1,2,12,15,10,37,13,10,15,13,51,88
Jordan,MENA,2013,NF,6,5,2,5,3,10,7,3,6,8,24,34
Kazakhstan,Eurasia,2013,NF,6,5,2,3,1,6,5,3,4,8,20,26
Kenya,SSA,2013,PF,4,4,6,10,5,21,13,8,6,7,34,55
Kiribati,Asia,2013,F,1,1,12,16,8,36,15,12,15,13,55,91
Kosovo,Europe,2013,PF,5,4,6,8,3,16,8,6,5,7,26,42
Kuwait,MENA,2013,PF,5,5,2,10,5,17,7,4,7,6,24,41
Kyrgyzstan,Eurasia,2013,PF,5,5,6,6,4,14,9,5,4,7,25,39
Laos,Asia,2013,NF,7,6,0,0,0,0,4,0,2,5,11,11
Latvia,Europe,2013,F,2,2,12,14,7,33,15,12,12,12,51,84
Lebanon,MENA,2013,PF,5,4,5,9,3,17,11,7,5,9,32,49
Lesotho,SSA,2013,F,2,3,10,13,8,31,14,7,11,9,41,72
Liberia,SSA,2013,PF,3,4,9,11,6,26,11,8,7,8,34,60
Libya,MENA,2013,PF,4,5,9,10,3,22,8,6,1,6,21,43
Liechtenstein,Europe,2013,F,1,1,12,15,12,39,16,12,15,16,59,98
Lithuania,Europe,2013,F,1,1,12,16,9,37,16,11,13,13,53,90
Luxembourg,Europe,2013,F,1,1,12,16,12,40,16,12,16,16,60,100
Macedonia,Europe,2013,PF,3,3,8,11,7,26,11,8,8,11,38,64
Madagascar,SSA,2013,PF,6,4,1,5,1,7,9,7,5,7,28,35
Malawi,SSA,2013,PF,3,4,8,11,7,26,11,7,9,7,34,60
Malaysia,Asia,2013,PF,4,4,6,8,6,20,9,5,5,9,28,48
Maldives,Asia,2013,PF,5,4,7,6,4,17,7,7,7,8,29,46
Mali,SSA,2013,NF,7,5,1,3,2,5,8,4,3,4,19,24
Malta,Europe,2013,F,1,1,12,16,11,39,16,12,15,15,58,97
Marshall Islands,Asia,2013,F,1,1,11,15,10,36,16,11,15,13,55,91
Mauritania,SSA,2013,NF,6,5,3,3,5,11,10,4,4,5,23,34
Mauritius,SSA,2013,F,1,2,12,15,11,38,15,12,13,12,52,90
Mexico,Americas,2013,PF,3,3,9,12,7,28,13,8,6,10,37,65
Micronesia,Asia,2013,F,1,1,12,15,10,37,16,11,15,14,56,93
Moldova,Eurasia,2013,PF,3,3,11,12,6,29,11,8,8,9,36,65
Monaco,Europe,2013,F,2,1,10,11,10,31,15,12,15,14,56,87
Mongolia,Asia,2013,F,1,2,11,16,9,36,15,11,12,12,50,86
Montenegro,Europe,2013,F,3,2,9,11,7,27,13,10,10,12,45,72
Morocco,MENA,2013,PF,5,4,5,7,4,16,8,6,6,7,27,43
Mozambique,SSA,2013,PF,4,3,6,10,7,23,12,7,8,9,36,59
Myanmar,Asia,2013,NF,6,5,3,6,3,9,7,4,1,5,17,26
Nagorno-Karabakh,Eurasia,2013,PF,5,5,4,5,3,12,6,3,5,5,19,31
Namibia,SSA,2013,F,2,2,10,11,9,30,14,12,11,9,46,76
Nauru,Asia,2013,F,1,1,12,16,10,38,15,11,15,14,55,93
Nepal,Asia,2013,PF,4,4,5,11,4,20,9,6,5,7,27,47
Netherlands,Europe,2013,F,1,1,12,16,12,40,16,12,15,16,59,99
New Zealand,Asia,2013,F,1,1,12,15,12,39,16,12,15,15,58,97
Nicaragua,Americas,2013,PF,5,4,6,7,4,17,12,6,7,9,34,51
Niger,SSA,2013,PF,3,4,9,10,7,26,11,8,5,6,30,56
Nigeria,SSA,2013,PF,4,4,6,9,5,20,9,7,4,6,26,46
North Korea,Asia,2013,NF,7,7,0,0,0,0,0,0,0,3,3,3
Northern Cyprus,Europe,2013,F,2,2,11,12,9,32,13,9,12,12,46,78
Norway,Europe,2013,F,1,1,12,16,12,40,16,12,16,16,60,100
Oman,MENA,2013,NF,6,5,2,2,2,9,5,3,4,5,17,26
Pakistan,Asia,2013,PF,4,5,6,9,5,20,5,7,4,6,22,42
Pakistani Kashmir,Asia,2013,NF,6,5,3,4,3,8,6,5,4,6,21,29
Palau,Asia,2013,F,1,1,12,15,10,37,16,11,15,13,55,92
Panama,Americas,2013,F,1,2,12,15,9,36,15,10,9,12,46,82
Papua New Guinea,Asia,2013,PF,4,3,9,10,4,23,12,9,7,8,36,59
Paraguay,Americas,2013,PF,3,3,10,12,5,27,11,8,6,10,35,62
Peru,Americas,2013,F,2,3,10,13,7,30,15,8,8,10,41,71
Philippines,Asia,2013,PF,3,3,9,10,7,26,14,8,5,10,37,63
Poland,Europe,2013,F,1,1,12,16,10,38,16,12,13,14,55,93
Portugal,Europe,2013,F,1,1,12,16,11,39,16,12,15,15,58,97
Puerto Rico,Americas,2013,F,1,2,12,15,10,37,16,10,12,14,52,89
Qatar,MENA,2013,NF,6,5,2,2,3,10,8,2,4,4,18,28
Romania,Europe,2013,F,2,2,10,14,8,32,14,11,12,12,49,81
Russia,Eurasia,2013,NF,6,5,1,3,3,7,6,4,3,7,20,27
Rwanda,SSA,2013,NF,6,6,2,2,4,8,4,2,3,7,16,24
Samoa,Asia,2013,F,2,2,9,13,10,32,14,10,13,12,49,81
San Marino,Europe,2013,F,1,1,12,16,12,40,16,12,16,16,60,100
Sao Tome and Principe,SSA,2013,F,2,2,11,14,9,34,15,10,12,10,47,81
Saudi Arabia,MENA,2013,NF,7,7,0,0,1,3,3,0,2,2,7,10
Senegal,SSA,2013,F,2,3,11,13,8,32,14,10,10,9,43,75
Serbia,Europe,2013,F,2,2,9,14,7,30,15,10,10,13,48,78
Seychelles,SSA,2013,PF,3,3,8,10,7,25,11,9,11,11,42,67
Sierra Leone,SSA,2013,F,2,3,10,12,8,30,13,8,9,10,40,70
Singapore,Asia,2013,PF,4,4,4,8,7,19,10,4,7,12,33,52
Slovenia,Europe,2013,F,1,1,12,15,11,38,14,12,14,13,53,91
Solomon Islands,Asia,2013,PF,4,3,6,10,6,22,14,9,8,12,43,65
Somalia,SSA,2013,NF,7,7,0,0,0,0,1,0,0,1,2,2
Somaliland,SSA,2013,PF,4,5,5,10,6,21,7,5,7,6,25,46
South Africa,SSA,2013,F,2,2,12,14,8,34,15,11,10,11,47,81
South Korea,Asia,2013,F,1,2,11,15,10,36,14,11,13,12,50,86
South Ossetia,Eurasia,2013,NF,7,6,0,0,0,-3,4,0,1,3,8,5
South Sudan,SSA,2013,NF,6,5,4,5,2,11,8,4,3,5,20,31
Spain,Europe,2013,F,1,1,12,16,11,39,16,12,14,15,57,96
Sri Lanka,Asia,2013,PF,5,4,6,6,4,16,8,6,5,8,27,43
St. Kitts and Nevis,Americas,2013,F,1,1,12,16,10,38,15,12,12,14,53,91
St. Lucia,Americas,2013,F,1,1,12,16,11,39,16,12,12,14,54,93
St. Vincent and the Grenadines,Americas,2013,F,1,1,11,16,9,36,15,11,13,14,53,89
Sudan,SSA,2013,NF,7,7,2,3,1,2,3,1,0,1,5,7
Suriname,Americas,2013,F,2,2,12,13,8,33,15,11,8,10,44,77
Swaziland,SSA,2013,NF,7,5,0,1,0,1,8,3,5,4,20,21
Sweden,Europe,2013,F,1,1,12,16,12,40,16,12,16,16,60,100
Switzerland,Europe,2013,F,1,1,12,15,12,39,15,12,15,15,57,96
Syria,MENA,2013,NF,7,7,0,0,1,-1,2,0,0,4,6,5
Taiwan,Asia,2013,F,1,2,11,15,10,36,14,11,14,13,52,88
Tajikistan,Eurasia,2013,NF,6,6,2,4,2,8,5,4,3,4,16,24
Tanzania,SSA,2013,PF,3,3,9,12,7,28,11,7,11,9,38,66
Thailand,Asia,2013,PF,4,4,8,9,5,22,9,6,6,10,31,53
The Gambia,SSA,2013,NF,6,6,2,5,0,7,5,4,1,6,16,23
Tibet,Asia,2013,NF,7,7,0,0,1,-2,0,0,0,3,3,1
Timor-Leste,Asia,2013,PF,3,4,11,12,6,29,12,7,6,9,34,63
Togo,SSA,2013,PF,5,4,4,8,4,16,8,6,6,7,27,43
Tonga,Asia,2013,F,3,2,11,14,4,29,13,8,11,12,44,73
Transnistria,Eurasia,2013,NF,6,6,3,5,2,10,6,2,2,5,15,25
Trinidad and Tobago,Americas,2013,F,2,2,11,13,9,33,15,11,9,13,48,81
Tunisia,MENA,2013,PF,3,4,9,12,5,26,10,8,6,9,33,59
Turkey,Europe,2013,PF,3,4,11,10,7,28,9,7,7,10,33,61
Turkmenistan,Eurasia,2013,NF,7,7,0,1,0,1,2,0,1,3,6,7
Tuvalu,Asia,2013,F,1,1,12,15,10,37,16,12,15,14,57,94
Uganda,SSA,2013,PF,5,4,3,6,3,12,11,4,6,7,28,40
Ukraine,Eurasia,2013,PF,4,3,8,9,4,21,10,8,7,11,36,57
United Arab Emirates,MENA,2013,NF,6,6,1,2,2,8,4,2,4,4,14,22
United Kingdom,Europe,2013,F,1,1,12,16,12,40,15,12,15,15,57,97
United States,Americas,2013,F,1,1,11,16,10,37,16,11,14,15,56,93
Uruguay,Americas,2013,F,1,1,12,16,11,39,16,12,15,15,58,97
Uzbekistan,Eurasia,2013,NF,7,7,0,0,0,0,1,0,0,3,4,4
Vanuatu,Asia,2013,F,2,2,9,15,8,32,15,11,10,11,47,79
Venezuela,Americas,2013,PF,5,5,5,8,2,15,9,4,4,7,24,39
Vietnam,Asia,2013,NF,7,5,0,1,1,2,4,1,4,8,17,19
West Bank,MENA,2013,NF,6,5,2,5,2,6,8,6,5,5,24,30
Western Sahara,MENA,2013,NF,7,7,0,0,0,-2,3,0,0,4,7,5
Yemen,MENA,2013,NF,6,6,3,4,2,9,6,3,2,5,16,25
Zambia,SSA,2013,PF,3,4,9,12,7,28,11,7,8,8,34,62
Zimbabwe,SSA,2013,NF,6,6,3,5,3,11,6,3,1,4,14,25
