country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
Abkhazia,Eurasia,2012,PF,5,5,6,7,4,17,8,5,4,5,22,39
Afghanistan,Asia,2012,NF,6,6,3,6,1,10,5,4,1,3,13,23
Albania,Europe,2012,PF,3,3,8,10,6,24,13,8,9,9,39,63
Algeria,MENA,2012,NF,6,5,4,4,3,11,7,5,5,7,24,35
Andorra,Europe,2012,F,1,1,12,15,12,39,16,11,15,15,57,96
Angola,SSA,2012,NF,6,5,3,6,1,10,8,4,4,3,19,29
Antigua and Barbuda,Americas,2012,F,3,2,11,12,6,29,13,9,13,13,48,77
Argentina,Americas,2012,F,2,2,11,15,6,32,14,11,11,13,49,81
Armenia,Eurasia,2012,PF,6,4,4,4,3,11,8,6,6,9,29,40
Australia,Asia,2012,F,1,1,12,15,12,39,16,12,14,15,57,96
Austria,Europe,2012,F,1,1,12,15,12,39,16,12,15,15,58,97
Azerbaijan,Eurasia,2012,NF,6,5,1,3,2,6,4,2,4,7,17,23
Bahamas,Americas,2012,F,1,1,12,16,10,38,16,12,15,15,58,96
Bahrain,MENA,2012,NF,6,6,3,3,4,8,3,2,1,6,12,20
Bangladesh,Asia,2012,PF,3,4,9,11,5,25,9,8,7,9,33,58
Barbados,Americas,2012,F,1,1,12,16,12,40,16,12,16,15,59,99
Belarus,Eurasia,2012,NF,7,6,0,3,1,4,3,1,1,5,10,14
Belgium,Europe,2012,F,1,1,12,16,12,40,16,12,15,15,58,98
Belize,Americas,2012,F,1,2,12,14,11,37,15,11,12,13,51,88
Benin,SSA,2012,F,2,2,8,16,8,32,15,11,13,10,49,81
Bhutan,Asia,2012,PF,4,5,7,7,6,19,8,3,5,8,24,43
Bolivia,Americas,2012,PF,3,3,11,11,6,28,14,9,6,9,38,66
Bosnia and Herzegovina,Europe,2012,PF,4,3,8,10,5,23,10,7,10,10,37,60
Botswana,SSA,2012,F,3,2,10,11,8,29,13,10,12,11,46,75
Brazil,Americas,2012,F,2,2,11,14,8,33,15,10,10,12,47,80
Brunei,Asia,2012,NF,6,5,0,3,3,7,6,3,6,8,23,30
Bulgaria,Europe,2012,F,2,2,11,15,8,34,14,11,11,11,47,81
Burkina Faso,SSA,2012,PF,5,3,5,7,4,16,13,8,6,8,35,51
Burundi,SSA,2012,PF,5,5,4,6,3,13,8,4,4,6,22,35
Cambodia,Asia,2012,NF,6,5,3,3,3,9,9,4,2,6,21,30
Cameroon,SSA,2012,NF,6,6,2,3,2,7,7,3,2,4,16,23
Canada,Americas,2012,F,1,1,12,16,12,40,16,12,15,16,59,99
Cape Verde,SSA,2012,F,1,1,12,15,10,37,15,11,14,13,53,90
Central African Republic,SSA,2012,PF,5,5,7,7,3,17,10,5,3,4,22,39
Chad,SSA,2012,NF,7,6,3,1,1,5,7,4,2,3,16,21
Chile,Americas,2012,F,1,1,12,15,12,39,16,12,15,15,58,97
China,Asia,2012,NF,7,6,0,1,2,2,3,3,2,6,14,16
Colombia,Americas,2012,PF,3,4,10,10,7,27,12,5,7,10,34,61
Comoros,SSA,2012,PF,3,4,9,11,5,25,10,6,8,6,30,55
Congo (Brazzaville),SSA,2012,NF,6,5,1,3,3,7,8,6,2,6,22,29
Congo (Kinshasa),SSA,2012,NF,6,6,3,4,2,9,7,3,0,1,11,20
Costa Rica,Americas,2012,F,1,1,12,15,11,38,16,11,13,13,53,91
Cote d'Ivoire,SSA,2012,NF,6,6,5,4,2,11,4,5,0,4,13,24
Croatia,Europe,2012,F,1,2,12,15,9,36,14,12,11,13,50,86
Cuba,Americas,2012,NF,7,6,0,0,1,1,3,1,2,4,10,11
Cyprus,Europe,2012,F,1,1,11,16,11,38,15,11,15,14,55,93
Czech Republic,Europe,2012,F,1,1,12,15,11,38,16,12,14,15,57,95
