country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
Abkhazia,Eurasia,2019,PF,4,5,6,8,4,18,8,6,4,5,23,41
Afghanistan,Asia,2019,NF,5,6,3,7,3,13,6,4,2,2,14,27
Albania,Europe,2019,PF,3,3,8,13,7,28,13,9,9,9,40,68
Algeria,MENA,2019,NF,6,5,3,4,3,10,7,4,6,7,24,34
Andorra,Europe,2019,F,1,1,12,15,12,39,14,11,15,15,55,94
Angola,SSA,2019,NF,6,5,3,6,2,11,7,6,4,3,20,31
Antigua and Barbuda,Americas,2019,F,2,2,12,13,8,33,15,9,14,13,51,84
Argentina,Americas,2019,F,2,2,11,15,8,34,15,11,10,14,50,84
Armenia,Eurasia,2019,PF,4,4,6,10,4,20,9,7,6,9,31,51
Australia,Asia,2019,F,1,1,12,16,12,40,16,12,15,15,58,98
Austria,Europe,2019,F,1,1,12,15,10,37,14,12,15,15,56,93
Azerbaijan,Eurasia,2019,NF,7,6,0,2,0,2,2,1,1,5,9,11
Bahamas,Americas,2019,F,1,1,12,16,10,38,15,12,13,13,53,91
Bahrain,MENA,2019,NF,7,6,2,0,3,2,2,1,1,6,10,12
Bangladesh,Asia,2019,PF,5,5,5,7,5,17,6,5,4,9,24,41
Barbados,Americas,2019,F,1,1,12,16,10,38,16,12,15,15,58,96
Belarus,Eurasia,2019,NF,7,6,0,3,2,5,2,3,2,7,14,19
Belgium,Europe,2019,F,1,1,12,16,11,39,15,12,15,15,57,96
Belize,Americas,2019,F,1,2,12,14,10,36,15,10,12,13,50,86
Benin,SSA,2019,F,2,2,9,15,8,32,15,11,11,10,47,79
Bhutan,Asia,2019,PF,3,4,10,11,9,29,9,5,8,8,30,59
Bolivia,Americas,2019,PF,3,3,10,11,7,28,14,9,6,10,39,67
Bosnia and Herzegovina,Europe,2019,PF,4,4,6,9,4,19,10,7,7,10,34,53
Botswana,SSA,2019,F,3,2,10,10,8,28,12,10,11,11,44,72
Brazil,Americas,2019,F,2,2,10,14,6,30,15,9,8,13,45,75
Brunei,Asia,2019,NF,6,5,0,3,4,7,6,3,6,7,22,29
Bulgaria,Europe,2019,F,2,2,11,14,8,33,14,11,10,12,47,80
Burkina Faso,SSA,2019,PF,4,3,7,10,6,23,13,9,7,8,37,60
Burundi,SSA,2019,NF,7,6,0,3,0,3,5,1,1,4,11,14
Cambodia,Asia,2019,NF,6,5,1,2,3,6,8,3,3,6,20,26
Cameroon,SSA,2019,NF,6,6,1,3,3,7,5,2,1,4,12,19
Canada,Americas,2019,F,1,1,12,16,12,40,16,12,15,16,59,99
Cape Verde,SSA,2019,F,1,1,12,15,10,37,15,11,14,13,53,90
Central African Republic,SSA,2019,NF,7,7,3,2,0,4,4,1,0,0,5,9
Chad,SSA,2019,NF,7,6,1,1,1,3,6,4,1,3,14,17
Chile,Americas,2019,F,1,1,12,15,10,37,16,12,14,15,57,94
China,Asia,2019,NF,7,6,0,0,2,-1,2,2,2,6,12,11
Colombia,Americas,2019,PF,3,3,10,11,8,29,12,6,9,10,37,66
Comoros,SSA,2019,PF,4,4,8,9,4,21,10,6,7,6,29,50
Congo (Brazzaville),SSA,2019,NF,7,5,0,2,0,2,7,5,1,6,19,21
Congo (Kinshasa),SSA,2019,NF,7,6,0,2,1,3,7,1,0,4,12,15
Costa Rica,Americas,2019,F,1,1,12,15,11,38,16,11,13,13,53,91
