country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
Abkhazia,Eurasia,2015,PF,4,5,6,8,4,18,8,6,4,5,23,41
Afghanistan,Asia,2015,NF,6,6,3,6,2,11,5,4,2,2,13,24
Albania,Europe,2015,PF,3,3,8,13,6,27,13,9,9,9,40,67
Algeria,MENA,2015,NF,6,5,4,4,3,11,7,4,5,7,23,34
Andorra,Europe,2015,F,1,1,12,15,12,39,16,11,15,15,57,96
Angola,SSA,2015,NF,6,5,3,6,1,10,7,4,4,3,18,28
Antigua and Barbuda,Americas,2015,F,2,2,11,13,7,31,14,9,13,13,49,80
Argentina,Americas,2015,F,2,2,11,14,6,31,14,11,11,13,49,80
Armenia,Eurasia,2015,PF,5,4,5,7,4,16,9,6,6,9,30,46
Australia,Asia,2015,F,1,1,12,15,12,39,16,12,15,15,58,97
Austria,Europe,2015,F,1,1,12,15,11,38,16,12,15,15,58,96
Azerbaijan,Eurasia,2015,NF,6,6,1,3,2,6,4,1,3,6,14,20
Bahamas,Americas,2015,F,1,1,12,16,10,38,16,12,15,15,58,96
Bahrain,MENA,2015,NF,7,6,2,2,3,5,2,1,1,6,10,15
Bangladesh,Asia,2015,PF,4,4,7,9,5,21,8,6,6,9,29,50
Barbados,Americas,2015,F,1,1,12,16,12,40,16,12,16,15,59,99
Belarus,Eurasia,2015,NF,7,6,0,3,1,4,3,1,1,5,10,14
Belgium,Europe,2015,F,1,1,12,16,12,40,15,12,15,15,57,97
Belize,Americas,2015,F,1,2,12,14,10,36,15,11,12,13,51,87
Benin,SSA,2015,F,2,2,8,16,8,32,15,12,12,10,49,81
Bhutan,Asia,2015,PF,3,4,10,10,10,29,9,4,6,8,27,56
Bolivia,Americas,2015,PF,3,3,11,11,7,29,14,9,6,10,39,68
Bosnia and Herzegovina,Europe,2015,PF,4,3,8,10,5,23,10,7,10,10,37,60
Botswana,SSA,2015,F,3,2,10,10,8,28,12,10,12,11,45,73
Brazil,Americas,2015,F,2,2,11,14,8,33,15,10,10,13,48,81
Brunei,Asia,2015,NF,6,5,0,3,3,7,6,3,6,8,23,30
Bulgaria,Europe,2015,F,2,2,11,14,8,33,14,11,10,11,46,79
Burkina Faso,SSA,2015,PF,6,3,2,6,1,9,13,8,7,8,36,45
Burundi,SSA,2015,NF,6,5,4,5,2,11,8,3,4,6,21,32
Cambodia,Asia,2015,NF,6,5,4,4,3,11,9,3,2,6,20,31
Cameroon,SSA,2015,NF,6,6,3,3,3,9,7,3,2,4,16,25
Canada,Americas,2015,F,1,1,12,16,11,39,16,12,15,16,59,98
Cape Verde,SSA,2015,F,1,1,12,15,10,37,15,11,14,13,53,90
Central African Republic,SSA,2015,NF,7,7,0,1,0,0,4,1,0,1,6,6
Chad,SSA,2015,NF,7,6,3,1,1,5,7,4,2,3,16,21
Chile,Americas,2015,F,1,1,12,15,12,39,16,11,14,15,56,95
China,Asia,2015,NF,7,6,0,1,2,2,4,3,2,6,15,17
Colombia,Americas,2015,PF,3,4,10,11,8,29,12,5,7,10,34,63
Comoros,SSA,2015,PF,3,4,9,11,5,25,10,6,8,6,30,55
Congo (Brazzaville),SSA,2015,NF,6,5,1,3,3,7,8,6,2,7,23,30
Congo (Kinshasa),SSA,2015,NF,6,6,3,4,2,9,8,3,0,5,16,25
Costa Rica,Americas,2015,F,1,1,12,15,10,37,16,11,13,13,53,90
Cote d'Ivoire,SSA,2015,PF,5,4,6,7,4,17,10,7,6,6,29,46
Crimea,Eurasia,2015,NF,7,6,0,0,0,-1,3,1,0,7,11,10
Croatia,Europe,2015,F,1,2,12,15,9,36,14,12,11,13,50,86
Cuba,Americas,2015,NF,7,6,0,0,1,1,4,0,3,6,13,14
Cyprus,Europe,2015,F,1,1,11,16,10,37,15,12,15,14,56,93
Czech Republic,Europe,2015,F,1,1,12,15,11,38,16,12,14,15,57,95
