country,fiw_region,year,fiw_status,fiw_pr_rating,fiw_cl_rating,fiw_a,fiw_b,fiw_c,fiw_pr,fiw_d,fiw_e,fiw_f,fiw_g,fiw_cl,fiw_total
Abkhazia,Eurasia,2009,PF,5,5,5,5,4,14,8,4,4,5,21,35
Afghanistan,Asia,2009,NF,5,6,6,7,3,16,5,4,2,5,16,32
Albania,Europe,2009,PF,3,3,8,11,7,26,13,8,10,9,40,66
Algeria,MENA,2009,NF,6,5,4,4,3,11,7,6,5,7,25,36
Andorra,Europe,2009,F,1,1,12,15,12,39,16,11,15,15,57,96
Angola,SSA,2009,NF,6,5,4,6,1,11,8,6,4,3,21,32
Antigua and Barbuda,Americas,2009,F,2,2,11,12,7,30,13,9,12,13,47,77
Argentina,Americas,2009,F,2,2,11,15,6,32,14,11,10,13,48,80
Armenia,Eurasia,2009,PF,6,4,4,4,3,11,8,5,5,9,27,38
Australia,Asia,2009,F,1,1,12,15,12,39,16,12,14,15,57,96
Austria,Europe,2009,F,1,1,12,15,12,39,16,12,15,15,58,97
Azerbaijan,Eurasia,2009,NF,6,5,2,3,3,8,6,3,4,8,21,29
Bahamas,Americas,2009,F,1,1,12,16,10,38,16,12,15,15,58,96
Bahrain,MENA,2009,PF,5,5,3,8,4,13,8,3,3,7,21,34
Bangladesh,Asia,2009,PF,4,4,9,9,4,22,8,8,5,9,30,52
Barbados,Americas,2009,F,1,1,12,16,12,40,16,12,16,15,59,99
Belarus,Eurasia,2009,NF,7,6,0,3,1,4,3,1,2,5,11,15
Belgium,Europe,2009,F,1,1,12,16,11,39,16,12,15,15,58,97
Belize,Americas,2009,F,1,2,12,14,10,36,15,11,12,13,51,87
Benin,SSA,2009,F,2,2,9,15,8,32,15,12,11,10,48,80
Bhutan,Asia,2009,PF,4,5,7,7,6,19,8,3,5,8,24,43
Bolivia,Americas,2009,PF,3,3,11,12,5,28,14,10,7,9,40,68
Bosnia and Herzegovina,Europe,2009,PF,4,3,8,10,5,23,11,7,10,10,38,61
Botswana,SSA,2009,F,2,2,10,11,9,30,14,10,13,11,48,78
Brazil,Americas,2009,F,2,2,11,14,7,32,15,10,8,12,45,77
Brunei,Asia,2009,NF,6,5,0,3,3,7,6,3,6,8,23,30
Bulgaria,Europe,2009,F,2,2,12,15,8,35,14,11,11,11,47,82
Burkina Faso,SSA,2009,PF,5,3,5,8,4,17,13,8,6,8,35,52
Burundi,SSA,2009,PF,4,5,8,8,4,20,8,5,4,6,23,43
Cambodia,Asia,2009,NF,6,5,3,5,3,11,10,5,2,6,23,34
Cameroon,SSA,2009,NF,6,6,2,3,3,8,7,2,2,4,15,23
Canada,Americas,2009,F,1,1,12,16,11,39,15,12,15,16,58,97
Cape Verde,SSA,2009,F,1,1,12,15,10,37,15,11,14,13,53,90
Central African Republic,SSA,2009,PF,5,5,7,7,3,17,10,6,3,4,23,40
Chad,SSA,2009,NF,7,6,3,1,1,5,7,4,1,3,15,20
